"Vendor","Item_Name","Item_Type","Service_Category","Description","Criticality","Approval_Status","Effective_From","Effective_To","Notes"
"Innovent Lab Equipment","Digital Lab Scale Package","Product","Laboratory Equipment","Digital lab scale package with warranty evidence calibration options and service escalation contacts.","Medium","Approved","06-Aug-2026","27-Aug-2026","Approved for lab catalog setup pending final ERP activation."
"PrimeSource Distribution","Inventory Replenishment Program","Both","Inventory Distribution","Recurring replenishment supply program for standard inventory items and order confirmations.","Medium","Approved","02-Aug-2026","29-Aug-2026","Approved for routine replenishment with confirmed insurance coverage."
"Cascade Furniture Makers","Ergonomic Workstation Set","Product","Furniture","Workstation furniture set including adjustable desks storage components and warranty support.","Low","Inactive","01-Aug-2026","12-Aug-2026","Inactive due to unresolved warranty claims and suspended vendor status."
"Delta Calibration Services","Instrument Calibration Service","Service","Calibration","Traceable calibration service for measurement instruments certificates and turnaround tracking.","High","Approved","06-Aug-2026","31-Aug-2026","Approved based on current traceable certificate and strong service performance."
"Beacon Energy Solutions","Energy Usage Analysis","Service","Energy Services","Monthly analysis of energy usage rates exposure trends and cost reduction opportunities.","Medium","Submitted","03-Aug-2026","15-Aug-2026","Awaiting finance review of rate exposure documentation."
"UrbanWaste Management","Regulated Waste Pickup","Service","Waste Management","Scheduled waste pickup service with permit tracking coverage documentation and disposal coordination.","High","Rejected","04-Aug-2026","14-Aug-2026","Rejected until corrected permit package and service coverage schedule are provided."
"Platinum Travel Services","Corporate Travel Booking Desk","Service","Travel Services","Travel booking desk for corporate itineraries reservation support and traveler assistance.","Low","Draft","06-Aug-2026","20-Aug-2026","Draft record created for sourcing comparison and document collection."
"ClearWater Utilities","Utility Account Administration","Service","Utility Services","Utility account coordination billing validation emergency contact maintenance and service continuity support.","Medium","Submitted","01-Aug-2026","12-Aug-2026","Contract confirmation remains open although tax documentation is verified."
"Falcon Robotics Manufacturing","Robotic Arm Controller","Product","Robotics Manufacturing","Advanced robotic arm controller for production automation and capability testing programs.","Critical","Approved","05-Aug-2026","31-Aug-2026","Strategic product approved with excellent quality and capability evidence."
"Allied Training Partners","Procurement Training Delivery","Service","Training","Instructor led training sessions covering procurement procedures compliance checkpoints and system usage.","Medium","Approved","06-Aug-2026","29-Aug-2026","Approved after facilitator onboarding and course material review."
"Zenith Paper Products","Sustainable Paper Stock","Product","Paper Products","Sustainable paper stock for office printing documentation and controlled internal communications.","Low","Submitted","03-Aug-2026","24-Aug-2026","Pending final approval while sustainability documentation is reviewed."
"Oceanic Freight Forwarders","International Freight Coordination","Service","Freight Forwarding","International shipment coordination customs tracking and escalation support for overseas freight lanes.","High","Rejected","02-Aug-2026","18-Aug-2026","Rejected pending corrected customs compliance attestation."
"Integra Legal Advisors","Contract Review Advisory","Service","Legal Advisory","Legal advisory service for contract review risk guidance and procurement negotiation support.","High","Approved","04-Aug-2026","31-Aug-2026","Approved for general advisory use and contract risk review."
"MountainView Construction","Site Preparation Service","Service","Construction Services","Site preparation coordination including safety planning supervisor approval and readiness tracking.","High","Submitted","06-Aug-2026","26-Aug-2026","Safety plan approval is required before service activation."
"FlexiStaff Contractors","Temporary Labor Support","Service","Contract Labor","Temporary labor coordination for operational support during seasonal workload changes.","Critical","Rejected","01-Aug-2026","08-Aug-2026","Rejected after compliance screening failures and insufficient labor controls."
"Sapphire Electronics Supply","Traceable Sensor Module","Product","Electronics Supply","Sensor modules supplied with lead time commitments traceability records and allocation updates.","High","Approved","07-Aug-2026","31-Aug-2026","Approved as preferred electronics supply item with strong traceability controls."
"BioSafe Cleaning Services","Enhanced Cleaning Program","Service","Cleaning Services","Enhanced cleaning program with chemical storage controls service quality checks and follow up reporting.","Medium","Approved","05-Aug-2026","30-Aug-2026","Approved after compliance evidence for chemical handling was verified."
"Crown Food Services","Catering Safety Service","Service","Food Services","Catering support service with food safety certificates allergen controls and event delivery coordination.","Medium","Submitted","08-Aug-2026","23-Aug-2026","Food safety certificate and allergen process evidence are still pending review."
"NextWave Network Services","Network Monitoring Service","Service","Network Services","Network uptime monitoring incident response security escalation and service change support.","Critical","Approved","06-Aug-2026","30-Aug-2026","Approved with verified security response evidence and uptime commitments."
"Precision Plastics Limited","Molded Plastic Housing","Product","Plastic Manufacturing","Molded plastic housings for assembly projects subject to sample review and capability assessment.","Medium","Submitted","04-Aug-2026","21-Aug-2026","Submitted for final capability assessment and compliance signoff."
"Stellar Marketing Consultants","Campaign Strategy Sprint","Service","Marketing Consulting","Short consulting sprint for campaign planning message testing and approval ready deliverables.","Low","Approved","02-Aug-2026","28-Aug-2026","Approved for marketing support with standard spending controls."
"Guardian Fire Systems","Fire System Inspection","Service","Fire Safety","Inspection service for fire systems licensing evidence backlog review and corrective recommendations.","Critical","Submitted","01-Aug-2026","16-Aug-2026","Licensing evidence must be updated before approval."
"BrightLeaf Agriculture Supply","Seasonal Supply Forecast Pack","Both","Agriculture Supply","Seasonal supply planning package for agricultural materials inventory forecasts and order readiness.","Medium","Approved","06-Aug-2026","27-Aug-2026","Approved for seasonal onboarding and ERP setup pending activation."
"Arcadia Security Services","Security Coverage Program","Service","Security Services","Security guard coverage planning incident reporting escalation support and site readiness coordination.","Critical","Approved","03-Aug-2026","31-Aug-2026","Preferred security service approved with reliable coverage and incident response evidence."
