"Vendor_Code","Vendor_Name","Vendor_Type","Tax_ID","Website.value","Website.url","Website.title","Primary_Email","Phone","Address.address_line_1","Address.address_line_2","Address.district_city","Address.state_province","Address.postal_Code","Address.country","Vendor_Status","Risk_Level","Overall_Score","Evaluation_Score","Risk_Score","Performance_Score","Last_Evaluation_Date","Last_Performance_Review_Date","Vendor_Tier","Internal_Notes"
"4011","Sunrise Chemical Supply","Distributor","US-EIN-36-9081452","https://www.sunrisechemical.com","https://www.sunrisechemical.com","Sunrise Chemical Supply Website","sunrise.chemical@zylker.com","+17135552011","905 Petrochem Road","Warehouse 5","Houston","Texas","77002","United States","Risk Review","Critical","33.45","52.00","92.25","31.50","12-Aug-2026","13-Aug-2026","Watchlist","Critical review opened for hazardous material handling gaps and missing renewal evidence."
"4012","Northstar Facilities Group","Contractor","CA-BN-894512673","https://www.northstarfacilities.com","https://www.northstarfacilities.com","Northstar Facilities Group Website","northstar.facilities@zylker.com","+16045552012","501 Granville Street","Suite 900","Vancouver","British Columbia","V6C 1T2","Canada","Onboarded","Low","82.35","84.00","22.75","80.25","13-Aug-2026","14-Aug-2026","Approved","Facilities team completed orientation and preventive maintenance scope is clearly defined."
"4013","CoreBridge Consulting","Consultant","AU-ABN-62-739-184-205","https://www.corebridgeconsulting.com","https://www.corebridgeconsulting.com","CoreBridge Consulting Website","corebridge.consulting@zylker.com","+61295552013","200 George Street","Level 18","Sydney","New South Wales","2000","Australia","Approved","Low","87.20","89.25","17.80","84.55","14-Aug-2026","15-Aug-2026","Approved","Consulting team provides dependable process analysis and practical sourcing recommendations."
"4014","Summit Electrical Contractors","Contractor","US-EIN-58-3027146","https://www.summitelectrical.com","https://www.summitelectrical.com","Summit Electrical Contractors Website","summit.electrical@zylker.com","+13035552014","1440 Platte Street","Suite 220","Denver","Colorado","80202","United States","Onboarding","Medium","69.75","73.20","47.50","65.40","15-Aug-2026","16-Aug-2026","Conditional","Site access and safety briefing are scheduled before contractor work can begin."
"4015","EcoWare Manufacturing","Manufacturer","NL-VAT-NL857392410B01","https://www.ecowaremfg.com","https://www.ecowaremfg.com","EcoWare Manufacturing Website","ecoware.manufacturing@zylker.com","+31205552015","Prins Hendrikkade 21","Floor 4","Amsterdam","North Holland","1012 TL","Netherlands","Under Evaluation","Medium","66.90","70.00","43.25","61.50","16-Aug-2026","17-Aug-2026","Conditional","Manufacturing audit is pending validation of recycled material sourcing controls."
"4016","Redwood Maintenance Services","Service Provider","US-EIN-63-5028194","https://www.redwoodmaintenance.com","https://www.redwoodmaintenance.com","Redwood Maintenance Services Website","redwood.maintenance@zylker.com","+15035552016","310 Alder Street","Suite 105","Portland","Oregon","97204","United States","Registered","Not Assessed","50.00","57.25","0.00","48.50","17-Aug-2026","18-Aug-2026","Unclassified","Vendor profile is registered and awaiting initial risk assessment assignment."
"4017","Vertex Precision Tools","Manufacturer","US-EIN-75-6142908","https://www.vertexprecision.com","https://www.vertexprecision.com","Vertex Precision Tools Website","vertex.precision@zylker.com","+14085552017","780 Innovation Drive","Building C","San Jose","California","95113","United States","Onboarded","Low","92.40","94.00","10.50","90.25","18-Aug-2026","19-Aug-2026","Preferred","Precision tooling supplier continues to exceed tolerance and delivery expectations."
"4018","Horizon Medical Supplies","Distributor","US-EIN-84-3190472","https://www.horizonmedicalsupplies.com","https://www.horizonmedicalsupplies.com","Horizon Medical Supplies Website","horizon.medical@zylker.com","+19195552018","4200 Research Commons","Suite 500","Raleigh","North Carolina","27601","United States","Approved","Medium","78.15","81.00","36.00","76.25","19-Aug-2026","20-Aug-2026","Approved","Approved for noncritical supplies while financial review updates are collected."
"4019","Silverline Print Services","Service Provider","US-EIN-19-5802461","https://www.silverlineprint.com","https://www.silverlineprint.com","Silverline Print Services Website","silverline.print@zylker.com","+12125552019","115 West 31st Street","Floor 7","New York","New York","10001","United States","Prospective","Not Assessed","0.00","0.00","0.00","0.00","20-Aug-2026","21-Aug-2026","Unclassified","Prospective vendor added for future print sourcing comparison and document collection."
"4020","TerraBuild Contractors","Contractor","US-EIN-47-6721930","https://www.terrabuildcontractors.com","https://www.terrabuildcontractors.com","TerraBuild Contractors Website","terrabuild.contractors@zylker.com","+17025552020","600 Fremont Street","Suite 160","Las Vegas","Nevada","89101","United States","Risk Review","High","48.95","59.25","82.50","43.75","21-Aug-2026","22-Aug-2026","Watchlist","Risk review opened after delayed project closeout documentation and subcontractor concerns."
"4021","CloudAxis Software Services","Service Provider","IE-VAT-IE6382149V","https://www.cloudaxissoftware.com","https://www.cloudaxissoftware.com","CloudAxis Software Services Website","cloudaxis.software@zylker.com","+35315552021","1 Dockland Central","Level 6","Dublin","Leinster","D01 E4X0","Ireland","Onboarded","Low","90.10","92.75","13.75","87.80","22-Aug-2026","23-Aug-2026","Preferred","Software service provider has completed security review and support integration setup."
"4022","Keystone Mechanical Systems","Manufacturer","US-EIN-52-8304719","https://www.keystonemechanical.com","https://www.keystonemechanical.com","Keystone Mechanical Systems Website","keystone.mechanical@zylker.com","+12155552022","300 Market Street","Suite 720","Philadelphia","Pennsylvania","19106","United States","Approved","Low","83.65","85.40","24.25","81.00","23-Aug-2026","24-Aug-2026","Approved","Mechanical systems vendor has dependable inspection results and stable pricing."
"4023","Pacific Components Depot","Distributor","US-EIN-68-5190274","https://www.pacificcomponents.com","https://www.pacificcomponents.com","Pacific Components Depot Website","pacific.components@zylker.com","+16195552023","925 Harbor Island Drive","Warehouse 3","San Diego","California","92101","United States","Registered","Medium","61.20","64.50","46.75","58.35","24-Aug-2026","25-Aug-2026","Conditional","Registered distributor requires product origin evidence before purchase approval."
"4024","AgileProcure Consultants","Consultant","UK-VAT-GB726184903","https://www.agileprocure.com","https://www.agileprocure.com","AgileProcure Consultants Website","agileprocure.consultants@zylker.com","+44203552024","25 Farringdon Street","Level 5","London","England","EC4A 4AB","United Kingdom","Approved","Low","85.90","87.50","19.25","83.75","25-Aug-2026","26-Aug-2026","Approved","Consultants provide useful market benchmarking and procurement policy support."
"4025","MetroFleet Leasing","Service Provider","US-EIN-39-4812750","https://www.metrofleetleasing.com","https://www.metrofleetleasing.com","MetroFleet Leasing Website","metrofleet.leasing@zylker.com","+13125552025","233 South Wacker Drive","Suite 4100","Chicago","Illinois","60606","United States","Under Evaluation","Medium","64.35","68.00","49.50","59.75","26-Aug-2026","27-Aug-2026","Conditional","Lease terms and vehicle maintenance coverage need additional finance review."
"4026","GlobalSecure Screening","Service Provider","US-EIN-11-6938025","https://www.globalsecurescreening.com","https://www.globalsecurescreening.com","GlobalSecure Screening Website","globalsecure.screening@zylker.com","+16465552026","90 Park Avenue","Floor 20","New York","New York","10016","United States","Risk Review","High","56.80","62.75","74.00","52.25","27-Aug-2026","28-Aug-2026","Watchlist","Data handling questions remain open and privacy questionnaire requires clarification."
"4027","Innovent Lab Equipment","Distributor","US-EIN-95-3701846","https://www.innoventlab.com","https://www.innoventlab.com","Innovent Lab Equipment Website","innovent.lab@zylker.com","+16175552027","75 Binney Street","Suite 118","Cambridge","Massachusetts","02142","United States","Onboarding","Low","80.70","82.50","27.25","79.00","28-Aug-2026","29-Aug-2026","Approved","Onboarding is nearly complete for lab equipment catalog and service escalation contacts."
"4028","PrimeSource Distribution","Distributor","US-EIN-26-8401937","https://www.primesourcedistribution.com","https://www.primesourcedistribution.com","PrimeSource Distribution Website","primesource.distribution@zylker.com","+14045552028","1180 Peachtree Street","Suite 1900","Atlanta","Georgia","30309","United States","Approved","Low","82.95","84.25","23.00","81.60","29-Aug-2026","30-Aug-2026","Approved","Supplier performs well for standard inventory replenishment and order confirmations."
"4029","Cascade Furniture Makers","Manufacturer","US-EIN-93-6125074","https://www.cascadefurniture.com","https://www.cascadefurniture.com","Cascade Furniture Makers Website","cascade.furniture@zylker.com","+15035552029","450 Northwest Couch Street","Showroom 2","Portland","Oregon","97209","United States","Suspended","High","39.25","55.00","85.75","26.50","30-Aug-2026","31-Aug-2026","Watchlist","Suspension remains active due to unresolved warranty claims and late replacement shipments."
"4030","Delta Calibration Services","Service Provider","US-EIN-74-5206183","https://www.deltacalibration.com","https://www.deltacalibration.com","Delta Calibration Services Website","delta.calibration@zylker.com","+15125552030","701 Brazos Street","Suite 530","Austin","Texas","78701","United States","Onboarded","Low","88.40","90.00","15.00","86.75","31-Aug-2026","01-Aug-2026","Preferred","Calibration vendor maintains traceable certificates and excellent turnaround times."
"4031","Beacon Energy Solutions","Service Provider","US-EIN-20-6473851","https://www.beaconenergy.com","https://www.beaconenergy.com","Beacon Energy Solutions Website","beacon.energy@zylker.com","+16175552031","100 Cambridge Street","Suite 1400","Boston","Massachusetts","02114","United States","Approved","Medium","76.50","79.25","35.50","74.75","01-Aug-2026","02-Aug-2026","Approved","Energy services supplier is approved with periodic review of rate exposure required."
"4032","UrbanWaste Management","Contractor","US-EIN-33-7291840","https://www.urbanwaste.com","https://www.urbanwaste.com","UrbanWaste Management Website","urbanwaste.management@zylker.com","+12135552032","600 South Spring Street","Yard Office","Los Angeles","California","90014","United States","Under Evaluation","Medium","62.85","66.40","51.00","58.25","02-Aug-2026","03-Aug-2026","Conditional","Waste handling permits are valid but service coverage documentation needs updates."
"4033","Platinum Travel Services","Service Provider","US-EIN-13-8405271","https://www.platinumtravelservices.com","https://www.platinumtravelservices.com","Platinum Travel Services Website","platinum.travel@zylker.com","+12125552033","500 Fifth Avenue","Suite 2600","New York","New York","10110","United States","Prospective","Not Assessed","0.00","0.00","0.00","0.00","03-Aug-2026","04-Aug-2026","Unclassified","Prospective travel vendor created for comparison during upcoming corporate travel sourcing."
"4034","ClearWater Utilities","Service Provider","US-EIN-59-2103847","https://www.clearwaterutilities.com","https://www.clearwaterutilities.com","ClearWater Utilities Website","clearwater.utilities@zylker.com","+18135552034","401 Channelside Drive","Suite 210","Tampa","Florida","33602","United States","Registered","Medium","60.75","63.25","45.50","57.00","04-Aug-2026","05-Aug-2026","Conditional","Utility account documentation is complete and emergency contact validation is pending."
"4035","Falcon Robotics Manufacturing","Manufacturer","JP-CN-7019-4826-35","https://www.falconrobotics.com","https://www.falconrobotics.com","Falcon Robotics Manufacturing Website","falcon.robotics@zylker.com","+8135552035","2 Chome Marunouchi","Tower 1","Tokyo","Tokyo","100-0005","Japan","Approved","Low","93.10","95.00","11.25","91.50","05-Aug-2026","06-Aug-2026","Preferred","Strategic robotics supplier has strong capability evidence and high quality performance."
"4036","Allied Training Partners","Consultant","US-EIN-44-6281079","https://www.alliedtrainingpartners.com","https://www.alliedtrainingpartners.com","Allied Training Partners Website","allied.training@zylker.com","+13145552036","800 Market Street","Suite 1200","St. Louis","Missouri","63101","United States","Onboarded","Low","84.10","85.75","21.00","82.80","06-Aug-2026","08-Aug-2026","Approved","Training provider completed facilitator onboarding and course materials review."
"4037","Zenith Paper Products","Manufacturer","US-EIN-41-9073862","https://www.zenithpaper.com","https://www.zenithpaper.com","Zenith Paper Products Website","zenith.paper@zylker.com","+16125552037","920 Hennepin Avenue","Suite 600","Minneapolis","Minnesota","55403","United States","Approved","Low","81.45","83.00","25.25","80.10","07-Aug-2026","09-Aug-2026","Approved","Paper product supplier has stable pricing and acceptable sustainability documentation."
"4038","Oceanic Freight Forwarders","Service Provider","AU-ABN-18-604-295-771","https://www.oceanicfreight.com","https://www.oceanicfreight.com","Oceanic Freight Forwarders Website","oceanic.freight@zylker.com","+61395552038","120 Collins Street","Level 15","Melbourne","Victoria","3000","Australia","Risk Review","High","52.10","61.50","78.25","47.75","08-Aug-2026","10-Aug-2026","Watchlist","International freight lanes show customs delays and escalation process needs improvement."
"4039","Integra Legal Advisors","Consultant","US-EIN-21-4059738","https://www.integralegaladvisors.com","https://www.integralegaladvisors.com","Integra Legal Advisors Website","integra.legal@zylker.com","+12025552039","700 Pennsylvania Avenue","Suite 500","Washington","District of Columbia","20004","United States","Approved","Low","86.75","88.00","18.00","85.40","09-Aug-2026","11-Aug-2026","Preferred","Legal advisors provide timely contract review and clear procurement risk guidance."
"4040","MountainView Construction","Contractor","US-EIN-82-5163094","https://www.mountainviewconstruction.com","https://www.mountainviewconstruction.com","MountainView Construction Website","mountainview.construction@zylker.com","+17205552040","1801 Wewatta Street","Suite 1100","Denver","Colorado","80202","United States","Onboarding","Medium","70.25","72.75","42.50","68.00","10-Aug-2026","12-Aug-2026","Conditional","Construction onboarding is conditional on final safety plan and site supervisor approval."
"4041","FlexiStaff Contractors","Contractor","US-EIN-38-7461029","https://www.flexistaffcontractors.com","https://www.flexistaffcontractors.com","FlexiStaff Contractors Website","flexistaff.contractors@zylker.com","+13125552041","222 Merchandise Mart Plaza","Suite 950","Chicago","Illinois","60654","United States","Rejected","Critical","18.50","32.00","95.00","15.75","11-Aug-2026","13-Aug-2026","Blocked","Rejected after screening failures and insufficient evidence of labor compliance controls."
"4042","Sapphire Electronics Supply","Distributor","TW-TAX-24589173","https://www.sapphireelectronics.com","https://www.sapphireelectronics.com","Sapphire Electronics Supply Website","sapphire.electronics@zylker.com","+88625552042","88 Xinyi Road","Floor 9","Taipei","Taipei City","11049","Taiwan","Approved","Low","90.60","92.00","13.00","89.25","12-Aug-2026","14-Aug-2026","Preferred","Electronics distributor has dependable lead times and strong traceability controls."
"4043","BioSafe Cleaning Services","Service Provider","US-EIN-57-3982106","https://www.biosafecleaning.com","https://www.biosafecleaning.com","BioSafe Cleaning Services Website","biosafe.cleaning@zylker.com","+16465552043","34 West 33rd Street","Suite 810","New York","New York","10001","United States","Onboarded","Medium","77.80","80.25","34.75","75.50","13-Aug-2026","15-Aug-2026","Approved","Cleaning services are onboarded with enhanced review for chemical storage procedures."
"4044","Crown Food Services","Service Provider","US-EIN-29-6501837","https://www.crownfoodservices.com","https://www.crownfoodservices.com","Crown Food Services Website","crown.food@zylker.com","+14155552044","1 Market Street","Suite 2400","San Francisco","California","94105","United States","Under Evaluation","Medium","65.60","69.00","48.25","60.50","14-Aug-2026","16-Aug-2026","Conditional","Food safety certificates are under review and allergen process evidence is requested."
"4045","NextWave Network Services","Service Provider","US-EIN-66-4109827","https://www.nextwavenetworks.com","https://www.nextwavenetworks.com","NextWave Network Services Website","nextwave.network@zylker.com","+14085552045","50 West San Fernando Street","Suite 1700","San Jose","California","95113","United States","Approved","Low","89.35","91.25","14.50","87.90","15-Aug-2026","17-Aug-2026","Preferred","Network services vendor meets uptime commitments and security response expectations."
"4046","Precision Plastics Limited","Manufacturer","UK-VAT-GB512937408","https://www.precisionplasticslimited.com","https://www.precisionplasticslimited.com","Precision Plastics Limited Website","precision.plastics@zylker.com","+441615552046","100 King Street","Unit 12","Manchester","England","M2 4WU","United Kingdom","Registered","Medium","63.10","66.75","43.80","58.90","16-Aug-2026","18-Aug-2026","Conditional","Registration is accepted pending manufacturing capability assessment and sample review."
"4047","Stellar Marketing Consultants","Consultant","US-EIN-10-7295836","https://www.stellarmarketingconsultants.com","https://www.stellarmarketingconsultants.com","Stellar Marketing Consultants Website","stellar.marketing@zylker.com","+12125552047","315 Madison Avenue","Floor 9","New York","New York","10017","United States","Approved","Low","82.00","84.50","22.25","79.75","17-Aug-2026","19-Aug-2026","Approved","Marketing consultant is approved for campaign support with standard approval controls."
"4048","Guardian Fire Systems","Contractor","US-EIN-71-5029364","https://www.guardianfiresystems.com","https://www.guardianfiresystems.com","Guardian Fire Systems Website","guardian.fire@zylker.com","+19725552048","2200 Ross Avenue","Suite 3300","Dallas","Texas","75201","United States","Risk Review","High","57.45","65.00","72.50","51.25","18-Aug-2026","20-Aug-2026","Watchlist","Fire system contractor requires review of inspection backlog and licensing evidence."
"4049","BrightLeaf Agriculture Supply","Distributor","US-EIN-46-9182057","https://www.brightleafagri.com","https://www.brightleafagri.com","BrightLeaf Agriculture Supply Website","brightleaf.agriculture@zylker.com","+19195552049","150 Fayetteville Street","Suite 300","Raleigh","North Carolina","27601","United States","Onboarding","Medium","74.25","77.00","39.50","71.75","19-Aug-2026","21-Aug-2026","Approved","Agriculture supply onboarding is progressing with seasonal inventory forecast under review."
"4050","Arcadia Security Services","Service Provider","US-EIN-55-3074918","https://www.arcadiasecurityservices.com","https://www.arcadiasecurityservices.com","Arcadia Security Services Website","arcadia.security@zylker.com","+16025552050","2 North Central Avenue","Suite 1500","Phoenix","Arizona","85004","United States","Approved","Low","87.85","89.50","17.25","85.80","20-Aug-2026","22-Aug-2026","Preferred","Security services vendor maintains reliable coverage and timely incident reporting."
