"Criteria_Code","Category","Criteria_Name","Description","Applies_To","Measurement_Type","Is_Mandatory","Status"
"2024","Role Induction","Role Readiness Feedback","Captures qualitative feedback on role understanding team introduction and department specific induction readiness.","Onboarding","Text","false","Active"
"2025","Quarterly Performance Review","Quarterly Goal Progress Rating","Rates progress against quarterly goals milestones and agreed business outcomes for the review period.","Performance Review","Rating Scale","true","Active"
"2026","Annual Performance Review","Annual Competency Rating","Rates overall competency demonstration across core role expectations values and annual performance objectives.","Performance Review","Rating Scale","true","Active"
"2027","Probation Performance Review","Probation Milestone Completion","Confirms that probation goals role expectations and manager checkpoints have been completed satisfactorily.","Performance Review","Yes/No","true","Active"
"2028","Manager Feedback Review","Coaching Quality Notes","Captures written feedback about coaching effectiveness support quality and recommended development actions.","Performance Review","Text","false","Active"
"2029","Goal Achievement Review","Goal Completion Percentage","Records the numeric completion percentage for assigned goals and measurable performance commitments.","Performance Review","Numeric","true","Active"
"2030","Skills Competency Review","Skills Proficiency Rating","Rates demonstrated proficiency in job skills technical capability and role specific competency areas.","Performance Review","Rating Scale","true","Active"
"2031","General Inquiry","Inquiry Resolution Quality","Rates the completeness timeliness and usefulness of the response provided for a general inquiry.","Evaluation","Rating Scale","false","Active"
"2032","Administrative Update","Update Accuracy Confirmation","Confirms that administrative changes are accurate approved and reflected in the correct records.","Evaluation","Yes/No","false","Active"
"2033","Knowledge Base Topic","Article Usefulness Rating","Rates whether the knowledge article is clear current searchable and helpful for the intended audience.","Evaluation","Rating Scale","false","Active"
"2034","Internal Communication","Message Clarity Rating","Rates clarity relevance and completeness of the internal message or cross functional update.","Evaluation","Rating Scale","false","Active"
"2035","Facility Service Request","Service Request Priority Score","Assigns a numeric priority score based on urgency safety impact operational disruption and requested timing.","Risk Assessment","Numeric","false","Active"
"2036","Policy Exception Request","Exception Justification Completeness","Documents whether the exception request includes sufficient business rationale impact details and approval context.","Evaluation","Text","true","Inactive"
"2037","Data Privacy Registration","Consent Record Verification","Confirms that consent records privacy request details and data handling references are complete and valid.","Registration","Yes/No","true","Active"
"2038","Audit Readiness Evaluation","Audit Evidence Readiness Score","Rates readiness of evidence owners supporting documents control mapping and audit response preparation.","Evaluation","Rating Scale","true","Active"
"2039","Health and Safety Risk","Safety Hazard Severity","Rates severity of the identified workplace hazard based on injury potential exposure frequency and control gaps.","Risk Assessment","Rating Scale","true","Active"
"2040","Contract Onboarding","Contract Activation Checklist","Confirms that contract terms approvals service dates and required setup tasks are ready for activation.","Onboarding","Yes/No","true","Active"
"2041","Performance Improvement Review","Improvement Plan Progress","Measures progress percentage against agreed improvement actions milestones and coaching checkpoints.","Performance Review","Numeric","true","Active"
"2042","Customer Satisfaction Evaluation","Customer Sentiment Rating","Rates customer sentiment using feedback quality issue resolution and overall satisfaction indicators.","Evaluation","Rating Scale","false","Active"
"2043","Asset Registration","Asset Tag Accuracy","Confirms that asset tag serial number location owner and acquisition details match supporting records.","Registration","Yes/No","true","Active"
"2044","Change Management Risk","Change Impact Severity","Rates potential impact of the proposed change on operations users controls and service continuity.","Risk Assessment","Rating Scale","true","Active"
"2045","New Hire Checklist","New Hire Task Completion","Tracks the percentage of required new hire checklist tasks completed before the start date.","Onboarding","Numeric","true","Active"
"2046","Leadership Performance Review","Leadership Effectiveness Rating","Rates leadership effectiveness across communication decision making team development and accountability.","Performance Review","Rating Scale","true","Active"
"2047","General Announcement","Announcement Reach Confirmation","Confirms that the announcement reached the intended audience and required acknowledgements were captured.","Onboarding","Yes/No","false","Active"
"2048","License Registration","License Expiry Validation","Checks whether license number renewal date issuing authority and supporting evidence are valid for registration.","Registration","Yes/No","true","Inactive"
"2049","Third Party Risk Assessment","Supplier Criticality Rating","Rates the criticality of an external provider based on service dependency data sensitivity and continuity impact.","Risk Assessment","Rating Scale","true","Active"
"2050","Team Performance Review","Team Collaboration Rating","Rates team collaboration quality shared accountability communication and delivery effectiveness during the review cycle.","Performance Review","Rating Scale","false","Active"
