"Performance_Review_Number","Vendor","Review_Date","Review_Period","Reviewer","Category","Criteria","Rating","Weight_Percentage","Rating_Score_Percentage","Weighted_Score","Review_Status","Improvement_Action","Next_Review_Date","Comments"
"9011","Sunrise Chemical Supply","12-Aug-2026","Ad hoc","noor.ahmed@zylker.com","Performance Improvement Review","Improvement Plan Progress","Goal not achieved","20.00","20.00","4.00","Submitted","Provide revised hazardous material insurance and complete compliance renewal evidence before further sourcing.","25-Aug-2026","Improvement plan progress is insufficient due to unresolved hazardous material documentation gaps."
"9012","Northstar Facilities Group","13-Aug-2026","Quarterly","mason.hall@zylker.com","Team Performance Review","Team Collaboration Rating","Exceeds expectations","12.00","80.00","9.60","Reviewed","Complete ERP activation follow up and keep preventive maintenance status summaries current.","27-Aug-2026","Facilities team coordination is strong and scope confirmations are handled promptly."
"9013","CoreBridge Consulting","14-Aug-2026","Half Yearly","ryan.moore@zylker.com","Leadership Performance Review","Leadership Effectiveness Rating","Exceeds expectations","14.00","80.00","11.20","Finalized","Share implementation roadmap templates earlier so procurement teams can act on recommendations faster.","28-Aug-2026","Consulting leadership was effective and delivered well structured process improvement guidance."
"9014","Summit Electrical Contractors","15-Aug-2026","Monthly","hannah.walker@zylker.com","Quarterly Performance Review","Quarterly Goal Progress Rating","Achieved as planned","13.00","60.00","7.80","Submitted","Complete safety briefing attendance evidence and confirm site access readiness before work release.","29-Aug-2026","Performance is acceptable but final safety documentation is still pending."
"9015","EcoWare Manufacturing","16-Aug-2026","Ad hoc","elena.rossi@zylker.com","Skills Competency Review","Skills Proficiency Rating","","0.00","0.00","0.00","Draft","Collect sample review results and recycled sourcing control evidence before scoring this draft review.","30-Aug-2026","Draft review opened while manufacturing audit evidence is still being gathered."
"9016","Redwood Maintenance Services","17-Aug-2026","Monthly","jason.reed@zylker.com","Probation Performance Review","Probation Milestone Completion","","0.00","0.00","0.00","Draft","Start initial service readiness checks and assign owners for banking contract and compliance tasks.","31-Aug-2026","Draft record created because onboarding has not progressed beyond initial invitation."
"9017","Vertex Precision Tools","18-Aug-2026","Quarterly","priya.shah@zylker.com","Skills Competency Review","Skills Proficiency Rating","Exceptional competency","20.00","100.00","20.00","Finalized","Continue sharing tolerance performance dashboards and maintain proactive delivery escalation practices.","31-Aug-2026","Precision tooling performance remains exceptional with strong inspection and delivery results."
"9018","Horizon Medical Supplies","19-Aug-2026","Monthly","sarah.jones@zylker.com","Team Performance Review","Team Collaboration Rating","Exceeds expectations","12.00","80.00","9.60","Reviewed","Keep finance review updates current and notify stakeholders earlier on noncritical supply substitutions.","31-Aug-2026","Vendor collaboration is strong and internal users reported dependable fulfillment."
"9019","Silverline Print Services","20-Aug-2026","Ad hoc","lily.campbell@zylker.com","Manager Feedback Review","Coaching Quality Notes","","0.00","0.00","0.00","Draft","Request a readable supporting document and confirm the issuing authority before assigning a rating.","31-Aug-2026","Draft review retained for prospective vendor comparison and pending document resubmission."
"9020","TerraBuild Contractors","21-Aug-2026","Monthly","mason.hall@zylker.com","Performance Improvement Review","Improvement Plan Progress","Partially achieved","16.00","40.00","6.40","Submitted","Submit subcontractor closeout records and confirm signed contract evidence with project controls.","31-Aug-2026","Improvement progress is limited because closeout documentation is still incomplete."
"9021","CloudAxis Software Services","22-Aug-2026","Quarterly","arjun.menon@zylker.com","Leadership Performance Review","Leadership Effectiveness Rating","Exceptional competency","18.00","100.00","18.00","Finalized","Continue publishing service health summaries and maintain strong security response coordination.","31-Aug-2026","Software support leadership is excellent with audit ready evidence and clear escalation paths."
"9022","Keystone Mechanical Systems","23-Aug-2026","Monthly","daniela.costa@zylker.com","Quarterly Performance Review","Quarterly Goal Progress Rating","Exceeded target","14.00","80.00","11.20","Reviewed","Maintain inspection traceability and continue early communication on pricing or lead time changes.","31-Aug-2026","Mechanical supply performance exceeded targets with reliable inspection evidence."
"9023","Pacific Components Depot","24-Aug-2026","Monthly","lily.campbell@zylker.com","Goal Achievement Review","Goal Completion Percentage","Achieved as planned","13.00","60.00","7.80","Submitted","Provide product origin documentation for remaining component lines before the next review checkpoint.","31-Aug-2026","Distributor goals are mostly on track but traceability evidence remains a dependency."
"9024","AgileProcure Consultants","25-Aug-2026","Half Yearly","maya.patel@zylker.com","Manager Feedback Review","Coaching Quality Notes","Exceeds expectations","12.00","80.00","9.60","Finalized","Continue translating benchmark findings into prioritized sourcing actions for procurement managers.","31-Aug-2026","Manager feedback was positive and advisory outputs were practical and well organized."
"9025","MetroFleet Leasing","26-Aug-2026","Quarterly","peter.collins@zylker.com","Annual Performance Review","Annual Competency Rating","Meets expectations","12.00","60.00","7.20","Submitted","Clarify lease maintenance coverage and provide current-period financial schedules for final scoring.","31-Aug-2026","Competency meets baseline expectations while finance validation remains open."
"9026","GlobalSecure Screening","27-Aug-2026","Ad hoc","noor.ahmed@zylker.com","Performance Improvement Review","Improvement Plan Progress","Partially achieved","15.00","40.00","6.00","Reviewed","Clarify privacy questionnaire responses and document data handling controls before expanded use.","31-Aug-2026","Privacy control improvement is incomplete and requires focused follow up."
"9027","Innovent Lab Equipment","28-Aug-2026","Monthly","yara.haddad@zylker.com","Probation Performance Review","Probation Milestone Completion","Exceeds expectations","11.00","80.00","8.80","Submitted","Complete ERP activation and keep warranty escalation contacts updated for laboratory teams.","31-Aug-2026","Probation milestones are progressing well with tax and catalog setup evidence verified."
"9028","PrimeSource Distribution","29-Aug-2026","Quarterly","emily.nguyen@zylker.com","Quarterly Performance Review","Quarterly Goal Progress Rating","Exceeded target","14.00","80.00","11.20","Finalized","Continue reliable replenishment confirmations and provide early alerts for stock constraints.","31-Aug-2026","Replenishment goals were exceeded with dependable inventory communication."
"9029","Cascade Furniture Makers","30-Aug-2026","Ad hoc","emma.rodriguez@zylker.com","Goal Achievement Review","Goal Completion Percentage","Goal not achieved","15.00","20.00","3.00","Reviewed","Resolve warranty claims and present recovery evidence before any reinstatement discussion.","31-Aug-2026","Vendor did not achieve expected warranty and delivery performance outcomes."
"9030","Delta Calibration Services","31-Aug-2026","Half Yearly","daniela.costa@zylker.com","Skills Competency Review","Skills Proficiency Rating","Exceptional competency","18.00","100.00","18.00","Finalized","Maintain traceable certificate turnaround reporting and continue proactive schedule reminders.","31-Aug-2026","Calibration competency is exceptional and evidence is complete for audit reference."
"9031","Beacon Energy Solutions","01-Aug-2026","Monthly","jack.thompson@zylker.com","Annual Performance Review","Annual Competency Rating","Meets expectations","12.00","60.00","7.20","Submitted","Provide additional rate exposure analysis and confirm mitigation options for high usage periods.","15-Aug-2026","Energy service performance meets expectations while finance review continues."
"9032","UrbanWaste Management","02-Aug-2026","Ad hoc","isabella.clark@zylker.com","Performance Improvement Review","Improvement Plan Progress","Partially achieved","15.00","40.00","6.00","Submitted","Submit corrected permit package with the required service coverage schedule.","18-Aug-2026","Permit correction remains the key blocker for performance improvement closure."
"9033","Platinum Travel Services","03-Aug-2026","Monthly","sara.ali@zylker.com","Manager Feedback Review","Coaching Quality Notes","","0.00","0.00","0.00","Draft","Collect travel sourcing documents and define service expectations before reviewer scoring.","20-Aug-2026","Draft review opened for prospective corporate travel vendor comparison."
"9034","ClearWater Utilities","04-Aug-2026","Monthly","jack.thompson@zylker.com","Probation Performance Review","Probation Milestone Completion","Meets expectations","10.00","60.00","6.00","Submitted","Complete contract confirmation and maintain updated emergency contact records.","18-Aug-2026","Utility account administration meets minimum milestones but contract steps remain open."
"9035","Falcon Robotics Manufacturing","05-Aug-2026","Quarterly","ava.martin@zylker.com","Leadership Performance Review","Leadership Effectiveness Rating","Exceptional competency","20.00","100.00","20.00","Finalized","Continue joint capability planning and share automation roadmap updates with operations leadership.","26-Aug-2026","Strategic supplier demonstrated exceptional leadership and quality performance."
"9036","Allied Training Partners","06-Aug-2026","Monthly","omar.hassan@zylker.com","Team Performance Review","Team Collaboration Rating","Exceeds expectations","12.00","80.00","9.60","Reviewed","Add post-session action logs and continue proactive facilitator coordination for upcoming training.","24-Aug-2026","Training delivery collaboration was strong with positive participant feedback."
"9037","Zenith Paper Products","07-Aug-2026","Quarterly","olivia.brown@zylker.com","Annual Performance Review","Annual Competency Rating","Meets expectations","10.00","60.00","6.00","Submitted","Complete sustainability evidence review and confirm insurance renewal tracking before finalization.","21-Aug-2026","Performance meets expectations while final approval documentation remains pending."
"9038","Oceanic Freight Forwarders","08-Aug-2026","Ad hoc","noor.ahmed@zylker.com","Goal Achievement Review","Goal Completion Percentage","Partially achieved","16.00","40.00","6.40","Reviewed","Provide signed customs compliance attestation and improve escalation updates for delayed lanes.","23-Aug-2026","Customs delay reduction goals were only partially achieved."
"9039","Integra Legal Advisors","09-Aug-2026","Half Yearly","thomas.baker@zylker.com","Manager Feedback Review","Coaching Quality Notes","Exceeds expectations","14.00","80.00","11.20","Finalized","Continue concise risk summaries and include negotiation fallback language in contract review notes.","30-Aug-2026","Legal advisory feedback was strong with timely and practical contract guidance."
"9040","MountainView Construction","10-Aug-2026","Monthly","hannah.walker@zylker.com","Performance Improvement Review","Improvement Plan Progress","Achieved as planned","15.00","60.00","9.00","Submitted","Obtain final safety plan approval and confirm site supervisor evidence before readiness review.","24-Aug-2026","Improvement actions are on plan but safety approval remains outstanding."
"9041","FlexiStaff Contractors","11-Aug-2026","Ad hoc","hannah.walker@zylker.com","Leadership Performance Review","Leadership Effectiveness Rating","Needs significant improvement","16.00","20.00","3.20","Reviewed","Address labor compliance control failures and provide verifiable corrective governance evidence.","19-Aug-2026","Leadership and compliance controls are below requirements and vendor remains blocked."
"9042","Sapphire Electronics Supply","12-Aug-2026","Quarterly","chloe.wright@zylker.com","Quarterly Performance Review","Quarterly Goal Progress Rating","Outstanding achievement","19.00","100.00","19.00","Finalized","Maintain allocation transparency and continue proactive lead time communication for critical modules.","28-Aug-2026","Electronics supply goals were achieved at an outstanding level with excellent traceability."
"9043","BioSafe Cleaning Services","13-Aug-2026","Monthly","liam.davis@zylker.com","Team Performance Review","Team Collaboration Rating","Exceeds expectations","13.00","80.00","10.40","Reviewed","Continue documenting chemical storage checks and share service follow up summaries after each cycle.","29-Aug-2026","Cleaning services team collaboration is strong and controls are well documented."
"9044","Crown Food Services","14-Aug-2026","Monthly","lily.campbell@zylker.com","Annual Performance Review","Annual Competency Rating","Meets expectations","11.00","60.00","6.60","Submitted","Provide allergen process evidence and complete food safety certificate clarifications before approval.","27-Aug-2026","Competency meets baseline requirements but food safety documentation needs more detail."
"9045","NextWave Network Services","15-Aug-2026","Quarterly","marcus.rivera@zylker.com","Skills Competency Review","Skills Proficiency Rating","Exceptional competency","18.00","100.00","18.00","Finalized","Maintain uptime reporting discipline and continue rapid security escalation response.","31-Aug-2026","Network service capability is exceptional with verified security evidence."
"9046","Precision Plastics Limited","16-Aug-2026","Monthly","elena.rossi@zylker.com","Probation Performance Review","Probation Milestone Completion","Meets expectations","12.00","60.00","7.20","Submitted","Complete sample validation and obtain final compliance signoff for manufacturing capability.","30-Aug-2026","Probation milestones meet expectations while sample review remains in progress."
"9047","Stellar Marketing Consultants","17-Aug-2026","Half Yearly","emily.nguyen@zylker.com","Manager Feedback Review","Coaching Quality Notes","Exceeds expectations","10.00","80.00","8.00","Finalized","Continue clear campaign briefs and include measurable outcome checkpoints in sprint closeouts.","31-Aug-2026","Marketing consulting feedback was positive with approval ready deliverables."
"9048","Guardian Fire Systems","18-Aug-2026","Ad hoc","isabella.clark@zylker.com","Performance Improvement Review","Improvement Plan Progress","Partially achieved","15.00","40.00","6.00","Reviewed","Update licensing evidence and resolve inspection backlog items with dated completion proof.","25-Aug-2026","Improvement is partial and documentation traceability remains weak."
"9049","BrightLeaf Agriculture Supply","19-Aug-2026","Monthly","chloe.wright@zylker.com","Goal Achievement Review","Goal Completion Percentage","Exceeded target","12.00","80.00","9.60","Reviewed","Maintain seasonal forecast updates and confirm ERP activation timing with procurement operations.","30-Aug-2026","Seasonal supply planning exceeded expectations and ordering readiness is strong."
"9050","Arcadia Security Services","20-Aug-2026","Quarterly","grace.scott@zylker.com","Leadership Performance Review","Leadership Effectiveness Rating","Exceptional competency","17.00","100.00","17.00","Finalized","Continue incident reporting discipline and share coverage planning updates ahead of peak periods.","31-Aug-2026","Security services leadership is exceptional with reliable coverage and escalation practices."
