"Onboarding_Number","Vendor","Onboarding_Start_Date","Assigned_To","Onboarding_Status","Target_Completion_Date","Completion_Date","Bank_Details_Received","Contract_Signed","Compliance_Clearance","ERP_Created","Onboarding_Score","Remarks"
"8024","AgileProcure Consultants","01-Aug-2026","maya.patel@zylker.com","Completed","08-Aug-2026","04-Aug-2026","true","true","true","true","93.00","Procurement consulting onboarding completed with contract and finance checks verified."
"8025","MetroFleet Leasing","06-Aug-2026","peter.collins@zylker.com","Pending Approval","18-Aug-2026","","true","true","false","false","66.00","Lease terms are under final finance review before system activation."
"8026","GlobalSecure Screening","03-Aug-2026","noor.ahmed@zylker.com","In Progress","25-Aug-2026","","true","false","false","false","50.00","Privacy questionnaire review is ongoing and contract confirmation is not complete."
"8027","Innovent Lab Equipment","06-Aug-2026","yara.haddad@zylker.com","Pending Approval","20-Aug-2026","","true","true","true","false","78.00","Lab equipment catalog setup is ready and ERP creation is awaiting approval."
"8028","PrimeSource Distribution","02-Aug-2026","emily.nguyen@zylker.com","Completed","11-Aug-2026","09-Aug-2026","true","true","true","true","90.00","Distribution onboarding is complete with insurance and banking checks confirmed."
"8029","Cascade Furniture Makers","01-Aug-2026","emma.rodriguez@zylker.com","Rejected","05-Aug-2026","","false","false","false","false","20.00","Onboarding was rejected because warranty claims remain unresolved."
"8030","Delta Calibration Services","06-Aug-2026","daniela.costa@zylker.com","Completed","10-Aug-2026","06-Aug-2026","true","true","true","true","96.00","Calibration vendor setup is complete with traceable certificate evidence verified."
"8031","Beacon Energy Solutions","03-Aug-2026","jack.thompson@zylker.com","Pending Approval","15-Aug-2026","","true","true","true","false","81.00","Rate exposure review is complete and ERP activation is pending management approval."
"8032","UrbanWaste Management","04-Aug-2026","isabella.clark@zylker.com","Pending Documents","14-Aug-2026","","true","false","false","false","43.00","Corrected permit package and updated service coverage schedule are required."
"8033","Platinum Travel Services","06-Aug-2026","sara.ali@zylker.com","Not Started","20-Aug-2026","","false","false","false","false","8.00","Travel vendor onboarding has been opened for sourcing comparison only."
"8034","ClearWater Utilities","01-Aug-2026","jack.thompson@zylker.com","In Progress","12-Aug-2026","","true","false","true","false","57.00","Utility billing records are verified while contract confirmation remains open."
"8035","Falcon Robotics Manufacturing","05-Aug-2026","ava.martin@zylker.com","Completed","10-Aug-2026","06-Aug-2026","true","true","true","true","100.00","Strategic robotics supplier completed onboarding with excellent readiness results."
"8036","Allied Training Partners","06-Aug-2026","omar.hassan@zylker.com","Completed","13-Aug-2026","07-Aug-2026","true","true","true","true","92.00","Training provider onboarding is complete and facilitator access is active."
"8037","Zenith Paper Products","03-Aug-2026","olivia.brown@zylker.com","Pending Approval","12-Aug-2026","","true","true","true","false","80.00","Supplier documents are clear and ERP creation is awaiting final procurement approval."
"8038","Oceanic Freight Forwarders","02-Aug-2026","noor.ahmed@zylker.com","Rejected","18-Aug-2026","","true","false","false","false","32.00","Onboarding was rejected pending corrected customs compliance attestation."
"8039","Integra Legal Advisors","04-Aug-2026","thomas.baker@zylker.com","Completed","09-Aug-2026","05-Aug-2026","true","true","true","true","94.00","Legal advisory onboarding is complete and contract references are approved."
"8040","MountainView Construction","06-Aug-2026","hannah.walker@zylker.com","In Progress","22-Aug-2026","","true","true","false","false","64.00","Safety plan approval is outstanding before contractor readiness review."
"8041","FlexiStaff Contractors","01-Aug-2026","hannah.walker@zylker.com","Rejected","08-Aug-2026","","false","false","false","false","12.00","Screening failures prevented onboarding from moving to approval."
"8042","Sapphire Electronics Supply","07-Aug-2026","chloe.wright@zylker.com","Completed","14-Aug-2026","13-Aug-2026","true","true","true","true","97.00","Electronics distributor onboarding is complete with traceability controls confirmed."
"8043","BioSafe Cleaning Services","05-Aug-2026","liam.davis@zylker.com","Completed","13-Aug-2026","09-Aug-2026","true","true","true","true","87.00","Cleaning service setup is complete with chemical storage procedures verified."
"8044","Crown Food Services","08-Aug-2026","lily.campbell@zylker.com","Pending Documents","21-Aug-2026","","true","false","false","false","48.00","Food safety certificate review and allergen process evidence are still pending."
"8045","NextWave Network Services","06-Aug-2026","marcus.rivera@zylker.com","Completed","12-Aug-2026","10-Aug-2026","true","true","true","true","96.00","Network service onboarding is complete with security response requirements verified."
"8046","Precision Plastics Limited","04-Aug-2026","elena.rossi@zylker.com","Pending Approval","20-Aug-2026","","true","true","false","false","68.00","Sample review is complete and compliance clearance is awaiting final signoff."
"8047","Stellar Marketing Consultants","02-Aug-2026","emily.nguyen@zylker.com","Completed","09-Aug-2026","06-Aug-2026","true","true","true","true","91.00","Marketing consultant onboarding completed with finance disclosure and contract checks cleared."
"8048","Guardian Fire Systems","01-Aug-2026","isabella.clark@zylker.com","In Progress","16-Aug-2026","","true","false","false","false","44.00","Licensing evidence and inspection backlog review must be resolved before approval."
"8049","BrightLeaf Agriculture Supply","06-Aug-2026","chloe.wright@zylker.com","Pending Approval","18-Aug-2026","","true","true","true","false","79.00","Seasonal supply onboarding is ready for ERP setup pending final approval."
"8050","Arcadia Security Services","03-Aug-2026","grace.scott@zylker.com","Completed","11-Aug-2026","06-Aug-2026","true","true","true","true","95.00","Security services onboarding is complete with incident reporting contacts confirmed."
