"Risk_Assessment_ID","Vendor","Assessment_Date","Assessor_Email","Financial_Risk_Score","Compliance_Risk_Score","Operational_Risk_Score","Cyber_Risk_Score","Overall_Risk_Score","Risk_Tier","Risk_Status","Mitigation_Plan","Assessment_Notes"
"11","Orion Compliance Consulting","07-Aug-2026","nina.risk@zylker.com","48.00","50.00","42.00","46.00","46.50","Medium","Acceptable","Validate consultant professional indemnity coverage and confirm data handling procedures before project start.","Compliance advisory engagement is acceptable, with moderate data handling and jurisdictional considerations."
"12","Citywide Courier Network","08-Aug-2026","omar.audit@zylker.com","18.00","22.00","25.00","20.00","21.25","Low","Acceptable","Continue SLA monitoring and annual vehicle insurance verification.","Same day courier has good delivery metrics, local coverage, and low technology dependency."
"13","BluePeak Industrial Tools","08-Aug-2026","priya.governance@zylker.com","52.00","48.00","56.00","50.00","51.50","Medium","Acceptable","Document alternate plant sourcing and require quarterly capacity risk updates.","Medium risk caused by dependency on a single production plant and moderate inventory buffers."
"14","Nova Data Security","09-Aug-2026","marcus.review@zylker.com","12.00","14.00","16.00","10.00","13.00","Low","Acceptable","Continue annual security attestation review and maintain incident response contact testing.","Security vendor remains low risk due to strong audit results and mature incident response processes."
"15","Harmony HR Services","09-Aug-2026","leah.risk@zylker.com","40.00","46.00","44.00","42.00","43.00","Medium","Acceptable","Monitor background check turnaround times and refresh privacy control evidence quarterly.","HR service provider has acceptable controls with moderate privacy and service continuity exposure."
"16","RapidFleet Transport","10-Aug-2026","nina.risk@zylker.com","45.00","50.00","54.00","48.00","49.25","Medium","Acceptable","Track driver safety indicators and require monthly improvement reports for delivery variance.","Transport supplier performance is improving, though route consistency and safety metrics need monitoring."
"17","Keystone Hardware Supply","12-Aug-2026","omar.audit@zylker.com","22.00","26.00","28.00","20.00","24.00","Low","Acceptable","Maintain annual review cadence and confirm inventory backup arrangements before renewal.","Hardware supplier has reliable stock availability, quick replacements, and low compliance complexity."
"18","Atlas Strategy Consultants","13-Aug-2026","priya.governance@zylker.com","35.00","38.00","40.00","34.00","36.75","Medium","Acceptable","Review project staffing backups and refresh confidentiality training attestations quarterly.","Consulting vendor is acceptable with moderate key person dependency and manageable data exposure."
"19","SecureNet Telecommunications","15-Aug-2026","marcus.review@zylker.com","54.00","58.00","50.00","62.00","56.00","Medium","Acceptable","Complete network resilience evidence review and monitor open penetration test remediation items.","Telecom provider has acceptable commercial strength, with elevated cyber and resilience review needs."
"20","FreshSource Produce","18-Aug-2026","leah.risk@zylker.com","42.00","36.00","48.00","34.00","40.00","Medium","Acceptable","Confirm cold chain controls and review seasonal sourcing backups before peak demand.","Produce supply depends on seasonal capacity, but compliance and financial indicators remain acceptable."
"21","ProMed Equipment Services","22-Aug-2026","nina.risk@zylker.com","18.00","20.00","24.00","16.00","19.50","Low","Acceptable","Continue technician certification checks and annual insurance validation.","Equipment service vendor has verified certifications, consistent response times, and low overall risk."
"22","Northstar Logistics","24-Aug-2026","omar.audit@zylker.com","64.00","70.00","72.00","68.00","68.50","High","Unacceptable","Place route exceptions under weekly review, require subcontractor audit evidence, and cap new lanes until KPIs stabilize.","Follow up assessment after new lane analysis found delivery variance and compliance evidence gaps."
"23","Harbor Freight Forwarding","26-Aug-2026","priya.governance@zylker.com","82.00","86.00","88.00","84.00","85.00","Critical","Unacceptable","Suspend expansion of scope, require verified remediation evidence, financial assurance, and weekly executive governance until risk improves.","Watchlist review identified recurring customs delays, limited contingency cover, and elevated cyber control concerns."
"24","Meridian Cloud Solutions","28-Aug-2026","marcus.review@zylker.com","55.00","56.00","60.00","58.00","57.25","Medium","Acceptable","Resolve remaining cloud access control evidence gaps and confirm incident notification timelines.","Reassessment noted good baseline controls with pending access review documentation."
"25","GlobalTech Components","31-Aug-2026","leah.risk@zylker.com","70.00","66.00","74.00","68.00","69.50","High","Unacceptable","Require lead time recovery milestones, dual source plan, and monthly quality governance before strategic award.","Component supplier requires stronger continuity planning and proof of alternate manufacturing capacity."
