"Vendor_ID","Vendor_Name","Vendor_Category","Vendor_Type","Registration_Date","Stage","Qualification_Status","Contact_Person","Contact_Email","Contact_Phone","Vendor_Address.address_line_1","Vendor_Address.address_line_2","Vendor_Address.district_city","Vendor_Address.state_province","Vendor_Address.postal_Code","Vendor_Address.country","Tax_ID","Business_Registration_Number","Current_Evaluation_Rating","Evaluation_Result","Latest_Risk_Tier","Latest_Risk_Status","Onboarding_Baseline_Score","Active_From","Latest_Performance_Score","Last_Review_Month","Lifecycle_Notes"
"1011","Evergreen Packaging Co.","Goods","National","06-Aug-2026","Performance Reviewed","Qualified","Charlotte Evans","charlotte.evans@zylker.com","+12065550221","1600 Pine Avenue","Dock 4","Seattle","Washington","98101","United States","US-65-1129038","BRN-US-2026-1011","4.30","Acceptable","Low","Acceptable","88.50","08-Aug-2026","91.70","06-Aug-2026","Packaging supplier reviewed with consistent fill rates and responsive account support."
"1012","Orion Compliance Consulting","Consulting","International","07-Aug-2026","Evaluated","Qualified","Daniel Wright","daniel.wright@zylker.com","+61255550232","22 George Street","Suite 14","Sydney","New South Wales","2000","Australia","AU-69-438-125-907","BRN-AU-2026-1012","4.00","Acceptable","Not Assessed","Not Assessed","80.00","10-Aug-2026","0.00","03-Aug-2026","Evaluation acceptable for compliance advisory scope and risk assessment is pending."
"1013","Citywide Courier Network","Logistics","Local","07-Aug-2026","Active","Qualified","Grace Lee","grace.lee@zylker.com","+442071555243","18 Fleet Street","Unit 5","London","England","EC4Y 1AA","United Kingdom","GB-884120675","BRN-GB-2026-1013","4.55","Acceptable","Low","Acceptable","92.00","09-Aug-2026","94.40","07-Aug-2026","Local courier network active for same-day deliveries with strong SLA adherence."
"1014","BluePeak Industrial Tools","Goods","National","08-Aug-2026","Risk Assessed","Qualified","Jack Turner","jack.turner@zylker.com","+15145550254","700 Rene Levesque Boulevard","Suite 800","Montreal","Quebec","H3B 1X8","Canada","CA-615-290-774","BRN-CA-2026-1014","3.95","Acceptable","Medium","Acceptable","81.25","11-Aug-2026","83.10","08-Aug-2026","Industrial tool supplier cleared with medium risk due to dependency on single plant."
"1015","Nova Data Security","Technology","International","08-Aug-2026","Active","Qualified","Amelia Scott","amelia.scott@zylker.com","+35315550265","4 Docklands Quay","Floor 3","Dublin","Leinster","D02 X285","Ireland","IE-6382149S","BRN-IE-2026-1015","4.80","Acceptable","Low","Acceptable","96.00","10-Aug-2026","97.20","08-Aug-2026","Security services vendor active with excellent audit results and rapid incident response."
"1016","Harmony HR Services","Services","National","09-Aug-2026","Onboarded","Qualified","Liam Hall","liam.hall@zylker.com","+91805550276","55 Residency Road","Suite 502","Bengaluru","Karnataka","560025","India","IN-29AAACH1234F1Z5","BRN-IN-2026-1016","4.25","Acceptable","Medium","Acceptable","87.50","12-Aug-2026","86.90","09-Aug-2026","HR services provider onboarded for background verification and payroll support."
"1017","Pacific Imports Group","Other","International","09-Aug-2026","Registered","On Hold","Mia Robinson","mia.robinson@zylker.com","+81355550287","2-11-1 Marunouchi","Tower South","Tokyo","Tokyo","100-0005","Japan","JP-T5010001122334","BRN-JP-2026-1017","0.00","Not Evaluated","Not Assessed","Not Assessed","0.00","13-Aug-2026","0.00","09-Aug-2026","Registration is on hold pending complete beneficial ownership documentation."
"1018","RapidFleet Transport","Logistics","National","10-Aug-2026","Performance Reviewed","Qualified","William Young","william.young@zylker.com","+13105550298","920 Commerce Drive","Suite 7","Dallas","Texas","75201","United States","US-19-7846203","BRN-US-2026-1018","4.15","Acceptable","Medium","Acceptable","85.00","12-Aug-2026","87.30","10-Aug-2026","Transport vendor reviewed with acceptable safety metrics and improving delivery variance."
"1019","BrightLine Marketing Services","Services","Local","11-Aug-2026","Evaluated","Rejected","Harper Allen","harper.allen@zylker.com","+12145550309","345 Elm Street","Studio 2","Austin","Texas","78701","United States","US-44-6083195","BRN-US-2026-1019","2.10","Rejected","Not Assessed","Not Assessed","42.00","14-Aug-2026","0.00","11-Aug-2026","Evaluation rejected due to insufficient category experience and incomplete references."
"1020","Keystone Hardware Supply","Goods","Local","12-Aug-2026","Active","Qualified","James King","james.king@zylker.com","+16105550320","410 Liberty Avenue","Warehouse 3","Pittsburgh","Pennsylvania","15222","United States","US-27-9401186","BRN-US-2026-1020","4.40","Acceptable","Low","Acceptable","90.00","14-Aug-2026","92.60","12-Aug-2026","Regional hardware supplier active with reliable stock availability and quick replacements."
"1021","Atlas Strategy Consultants","Consulting","National","13-Aug-2026","Risk Assessed","Qualified","Ella Baker","ella.baker@zylker.com","+12025550331","1330 K Street NW","Suite 500","Washington","District of Columbia","20005","United States","US-52-3069981","BRN-US-2026-1021","4.05","Acceptable","Low","Acceptable","83.75","15-Aug-2026","84.20","13-Aug-2026","Strategy consulting vendor assessed as low risk with strong client references."
"1022","SecureNet Telecommunications","Technology","International","15-Aug-2026","Onboarded","Qualified","Alexander Green","alexander.green@zylker.com","+33155550342","12 Rue Lafayette","Etage 4","Paris","Ile-de-France","75009","France","FR-98-552104773","BRN-FR-2026-1022","3.85","Acceptable","Medium","Acceptable","79.50","17-Aug-2026","81.40","15-Aug-2026","Telecommunications vendor onboarded with network resilience commitments documented."
"1023","FreshSource Produce","Goods","Local","18-Aug-2026","Performance Reviewed","Qualified","Abigail Nelson","abigail.nelson@zylker.com","+52555550353","120 Mercado Central","Local 18","Mexico City","Ciudad de Mexico","06000","Mexico","MX-FSP260818Q12","BRN-MX-2026-1023","4.65","Acceptable","Medium","Acceptable","91.00","19-Aug-2026","90.80","18-Aug-2026","Produce supplier reviewed for freshness standards and seasonal capacity planning."
"1024","ProMed Equipment Services","Services","National","22-Aug-2026","Active","Qualified","Michael Perez","michael.perez@zylker.com","+491755550364","88 MedTech Park","Building 5","Munich","Bavaria","80331","Germany","DE-731905482","BRN-DE-2026-1024","4.70","Acceptable","Low","Acceptable","93.50","23-Aug-2026","94.90","22-Aug-2026","Medical equipment service vendor active with verified technician certifications."
"1025","DeltaWare Analytics","Technology","National","28-Aug-2026","Registered","Pending","Emily Cooper","emily.cooper@zylker.com","+16175550375","75 Innovation Way","Suite 120","Boston","Massachusetts","02110","United States","US-68-5130974","BRN-US-2026-1025","0.00","Not Evaluated","Not Assessed","Not Assessed","0.00","31-Aug-2026","0.00","28-Aug-2026","New analytics vendor registration received and scheduled for evaluation later this month."
