"Product_Code","Product_Name","Trade_Name","Product_Status","Application_Category","Resin_Subcategory","Book_Name","Default_Vendor","Default_Currency","Default_Duty_AUD_MT","Product_Notes"
"PE-BLOW-DRUM-011","HDPE Drum and Jerrycan Resin","ZylDrum HD 930","Active","Blow Moulding","PE","PE","Emirates Polymer Distribution FZE","USD","39.25","HDPE grade for drums and jerrycans where impact strength and chemical resistance are important."
"PP-BLOW-CAP-012","PP Cap and Closure Blow Grade","ZylCap PP 340","Active","Blow Moulding","PP","OTP","Pacific Rim Resin Sources","USD","46.75","PP grade used for small blow moulded closures and specialty packaging components."
"PE-ROTO-GEN-013","General Purpose Roto Moulding PE","ZylRoto GP 120","Active","Roto Moulding","PE","PE","Singapore Polymer Logistics Pte Ltd","USD","44.00","General purpose roto moulding powder resin for tanks and custom moulded hollow products."
"PE-ROTO-UV-014","UV Stabilized Roto Moulding PE","ZylRoto UV 155","Active","Roto Moulding","PE","PE","Mediterranean Resin Partners SA","EUR","53.65","UV stabilized PE roto grade for outdoor tanks and parts exposed to high sunlight conditions."
"PP-INJ-HOMO-015","PP Homopolymer Injection Grade","ZylMold PP H200","Active","Injection Moulding","PP","OTP","Atlantic Polymer Supply BV","EUR","50.20","General injection moulding PP homopolymer for appliance housings and durable goods components."
"PP-INJ-COP-016","PP Impact Copolymer Injection Grade","ZylImpact PP C350","Active","Injection Moulding","PP","OTP","Rhine Technical Polymers GmbH","EUR","55.10","Impact copolymer PP grade for automotive and industrial parts needing toughness at lower temperatures."
"PE-INJ-CRATE-017","HDPE Crate Injection Grade","ZylCrate HD 270","Active","Injection Moulding","PE","PE","Zylker Petrochem Trading LLC","USD","43.35","HDPE injection grade for crates and reusable handling products with high impact performance."
"OTH-INJ-ENG-018","Specialty Engineering Resin Blend","ZylTech Blend 480","Active","Injection Moulding","Other","Other","North Sea Specialty Polymers","EUR","72.80","Specialty blend for technical injection moulded parts with enhanced stiffness and heat resistance."
"PP-OTHER-FIB-019","PP Fiber and Nonwoven Grade","ZylFiber PP 610","Active","Other","PP","OTP","Antwerp Additives Group","EUR","48.90","PP grade targeted to fiber extrusion and nonwoven applications with narrow melt flow consistency."
"PE-OTHER-WAX-020","PE Processing Wax Concentrate","ZylWax PE 100","Active","Other","PE","Other","Antwerp Additives Group","EUR","68.40","Processing aid supplied for compounding and masterbatch applications requiring controlled lubrication."
"PVC-OTHER-CABLE-021","Flexible PVC Cable Compound","ZylCable PVC 820","Active","Other","PVC","PVC","Mediterranean Resin Partners SA","EUR","66.25","Flexible PVC compound for cable jacketing and profiles with balanced flexibility and surface finish."
"OTH-OTHER-ADD-022","Additive Masterbatch Carrier Blend","ZylAdd MB 200","Active","Other","Other","Other","Antwerp Additives Group","EUR","75.50","Carrier blend for color and additive masterbatch production where compatibility must be checked by trial."
"PE-FILM-TRIAL-023","Trial PE Film Resin Lot","ZylTrial PE 010","Inactive","Film","PE","PE","Old Coastline Packing Co","USD","0.00","Inactive trial lot retained for historical quotations and laboratory comparison records only."
"PVC-PIPE-LEG-024","Legacy PVC Pipe Resin","ZylPipe Legacy 500","Inactive","Pipe & Fittings","PVC","PVC","EuroChem Resin Brokers SARL","EUR","58.00","Legacy PVC pipe resin profile retained for audit history and prior customer price comparisons."
"PP-INJ-SPEC-025","Specialty PP Medical Component Grade","ZylMed PP 760","Active","Injection Moulding","PP","OTP","North Sea Specialty Polymers","EUR","79.95","Specialty PP injection grade for regulated component moulding where documentation and lot traceability are required."
