"Quote_Number","Pricing_Request","Customer","Quote_Date","Valid_Until","Quote_Status","Quote_Currency","Payment_Terms","Total_Options","Quote_Title","Quote_Summary","Quote_HTML_Snapshot","Generated_By","Generated_On","Notes"
"5013","1016","Rotterdam Polymer Trading BV","24-Jul-2026","31-Jul-2026","Draft","USD","Net 30","1","Rotterdam Slip Sheet Draft Quote","Draft quote snapshot for revised Botlek slip sheet handling before final customer release.","<h1>Quote 5013</h1><p>Draft Rotterdam slip sheet quote retained for pricing review.</p>","henry.turner@zylker.com","24-Jul-2026 11:10:00","Draft prepared for internal review of regional handling assumptions."
"5014","1020","Kiwi Pipe Systems Ltd","28-Jul-2026","31-Jul-2026","Generated","NZD","Net 45","2","Tauranga PE Pipe Project Quote","Generated current week PE pipe resin quote for Tauranga project store indent deliveries.","<h1>Quote 5014</h1><p>Generated Tauranga project store quote for PE pipe resin supply.</p>","commercial.manager@zylker.com","28-Jul-2026 15:25:00","Current week approved request converted to project quote."
"5015","1020","Kiwi Pipe Systems Ltd","28-Jul-2026","31-Jul-2026","Accepted","NZD","Net 45","2","Kiwi Pipe Tauranga Indent Quote","Accepted indent delivery pricing for Tauranga infrastructure project stock replenishment.","<h1>Quote 5015</h1><p>Accepted Tauranga indent quote for infrastructure pipe resin.</p>","amelia.young@zylker.com","28-Jul-2026 17:05:00","Customer accepted the project store option after same day approval."
"5016","1021","Pacific Resin Distribution","29-Jul-2026","31-Jul-2026","Generated","AUD","Net 45","1","Townsville Regional Container Quote","Generated quote for North Queensland palletized container replenishment with inland freight allowance included.","<h1>Quote 5016</h1><p>Generated Townsville depot quote with regional delivery allowance.</p>","finance.manager@zylker.com","29-Jul-2026 17:18:00","Generated from approved current week regional depot request."
"5017","1021","Pacific Resin Distribution","29-Jul-2026","31-Jul-2026","Accepted","AUD","Net 45","1","Pacific Resin Townsville July Quote","Accepted regional depot pricing for palletized containers delivered to Townsville stock point.","<h1>Quote 5017</h1><p>Accepted North Queensland palletized container quote.</p>","mason.green@zylker.com","29-Jul-2026 18:05:00","Accepted shortly after quote generation for current week replenishment."
"5018","1008","Golden State Film Products","27-Jul-2026","31-Jul-2026","Generated","USD","Net 45","2","Vernon Current Week Film Quote","Current week generated quote for additional premium film resin volume into the Vernon plant.","<h1>Quote 5018</h1><p>Current week generated quote for Vernon premium film resin.</p>","pricing.documents@zylker.com","27-Jul-2026 09:20:00","Issued for additional July call off review during the current week."
"5019","1016","Rotterdam Polymer Trading BV","27-Jul-2026","31-Jul-2026","Generated","USD","Net 30","1","Rotterdam Current Week Hub Quote","Current week generated quote for Botlek hub distributor transfer pricing and regional allocation.","<h1>Quote 5019</h1><p>Current week Botlek hub quote generated for distributor allocation.</p>","pricing.documents@zylker.com","27-Jul-2026 14:45:00","Supports this week distributor transfer planning through Rotterdam."
"5020","1020","Kiwi Pipe Systems Ltd","28-Jul-2026","31-Jul-2026","Generated","NZD","Net 45","2","Tauranga Current Week Pipe Quote","Generated quote for current week Tauranga project pipe resin requirements with indent delivery terms.","<h1>Quote 5020</h1><p>Current week Tauranga pipe resin quote generated with Net 45 terms.</p>","amelia.young@zylker.com","28-Jul-2026 16:10:00","Prepared for project manager sign off before month end."
"5021","1021","Pacific Resin Distribution","29-Jul-2026","31-Jul-2026","Generated","AUD","Net 45","1","Townsville Current Week Distributor Quote","Generated current week distributor quote for Townsville palletized container replenishment.","<h1>Quote 5021</h1><p>Current week Townsville depot quote generated for customer review.</p>","mason.green@zylker.com","29-Jul-2026 17:40:00","Includes North Queensland freight allowance from the approved request."
"5022","1012","Veracruz Industrial Plastics","30-Jul-2026","31-Jul-2026","Generated","USD","Net 30","1","Veracruz Current Day Pipe Quote","Current day quote generated for supplemental Veracruz pipe resin volume before month end validity.","<h1>Quote 5022</h1><p>Current day Veracruz pipe resin quote generated for supplemental volume.</p>","pricing.documents@zylker.com","30-Jul-2026 09:30:00","Issued today for customer review against remaining July production needs."
"5023","1016","Rotterdam Polymer Trading BV","30-Jul-2026","31-Jul-2026","Accepted","USD","Net 30","1","Rotterdam Current Day Accepted Quote","Current day accepted quote for Botlek hub slip sheet container handling and distributor transfer pricing.","<h1>Quote 5023</h1><p>Current day accepted Rotterdam hub distribution quote.</p>","henry.turner@zylker.com","30-Jul-2026 13:15:00","Accepted today for regional allocation and warehouse planning."
"5024","1021","Pacific Resin Distribution","30-Jul-2026","31-Jul-2026","Generated","AUD","Net 45","1","Pacific Resin Current Day Townsville Quote","Current day generated quote for final July Townsville depot replenishment review.","<h1>Quote 5024</h1><p>Current day Townsville quote generated for month end review.</p>","pricing.documents@zylker.com","30-Jul-2026 16:05:00","Generated today to support month end distributor replenishment reporting."
