"Matrix_Code","Matrix_Status","Arrival_Port","Delivery_Region","State","Country","Packaging","Delivery_Model","Container_Size","Wharf_Clearance_AUD_MT","Port_Fees_Transport_WH_AUD_MT","Repacking_Costs_AUD_MT","Est_Storage_Cost_AUD_MT","Additional_Charges_AUD_MT","Fuel_Levy_Percent","Est_Delivery_Cost_AUD_MT","Financing_Percent","Effective_From","Effective_To","Notes"
"LCM-0011","Active","Port of Buenos Aires","AR-BA-SOUTH","Buenos Aires","Argentina","25 KG Paper Bags on Pallet","Latin America Port Delivery","20GP","27.10","61.30","4.60","0.00","8.20","9.40","89.75","1.65","14-Jul-2026","31-Jul-2026","Buenos Aires packaging plant route using palletized bags and scheduled local delivery"
"LCM-0012","Active","Port of San Antonio","CL-SAI","Valparaiso","Chile","Half Ton Bulk Bag","Prepaid Spot Customer DAP","20GP","26.80","59.90","7.25","0.00","7.85","9.25","87.10","1.60","15-Jul-2026","31-Jul-2026","San Antonio roto moulding matrix for prepaid smaller bulk bag deliveries"
"LCM-0013","Active","Port of Rotterdam","NL-RTM-HUB","South Holland","Netherlands","Container with Slip Sheets","Europe Hub Distribution","40HC","18.90","46.70","5.10","8.40","3.95","6.95","60.30","1.10","16-Jul-2026","31-Jul-2026","Rotterdam hub distribution cost row for slip sheet containers and regional delivery planning"
"LCM-0014","Active","Port of Antwerp-Bruges","BE-ANR-HUB","Flanders","Belgium","Bulk Bag to 25 KG Repack","Bulk Bag Repack Program","40HC","19.35","47.90","12.80","9.10","4.25","7.05","62.40","1.15","17-Jul-2026","31-Jul-2026","Antwerp repack program matrix includes warehouse handling storage and delivered freight"
"LCM-0015","Draft","Port of Hamburg","DE-HAM-NORTH","Hamburg","Germany","25 KG Paper Bags on Pallet","Temperature Controlled Storage","20GP","20.20","49.15","5.40","12.75","4.90","7.25","65.80","1.20","20-Jul-2026","","Draft Hamburg controlled storage matrix pending warehouse temperature monitoring surcharge approval"
"LCM-0016","Active","Port of Singapore","SG-JURONG","Central Region","Singapore","Bulk Bag to 25 KG Repack","Singapore Transshipment Hub","Other","14.85","34.60","11.50","6.40","2.80","5.90","24.75","0.85","21-Jul-2026","31-Jul-2026","Jurong hub transshipment row for repacking and internal allocation movements"
"LCM-0017","Active","Port of Singapore","AU-BNE-PORT","Queensland","Australia","Seabulk Heavy Duty Liner","Australia East Coast DAP","40HC","18.95","43.85","0.00","0.00","3.95","7.30","61.15","1.10","22-Jul-2026","31-Jul-2026","Brisbane port warehouse route for heavy duty seabulk liner shipments"
"LCM-0018","Active","Port of Singapore","AU-NQLD","Queensland","Australia","40 Foot Container Palletized Bags","Project Site Direct Delivery","40HC","21.70","50.25","3.10","0.00","6.60","8.20","94.50","1.35","24-Jul-2026","31-Jul-2026","North Queensland project delivery matrix with higher inland freight allowance"
"LCM-0019","Active","Port of Singapore","NZ-CHC-WEST","Canterbury","New Zealand","25 KG Paper Bags on Pallet","New Zealand Direct DDP","20GP","23.35","52.85","5.95","0.00","6.45","8.65","76.90","1.40","27-Jul-2026","31-Jul-2026","Current week Christchurch west matrix for palletized injection moulding grades"
"LCM-0020","Active","Port of Savannah","US-GA-SAV","Georgia","United States","20 Foot Container Loose Bags","Project Site Direct Delivery","20GP","18.80","43.40","2.90","0.00","4.35","7.05","58.75","1.05","27-Jul-2026","31-Jul-2026","Current week Savannah project site route for pipe resin delivered from port area"
"LCM-0021","Active","Port of Norfolk","US-VA-NOR","Virginia","United States","25 KG PE Bags on Pallet","Customer Carrier Collection","20GP","19.45","44.70","2.60","0.00","3.25","6.95","0.00","1.10","28-Jul-2026","30-Jul-2026","Customer arranged carrier collection with warehouse release costs only and no outbound delivery charge"
"LCM-0022","Expired","Port of Seattle","US-WA-SEA","Washington","United States","40 Foot High Cube Bulk Bags","Distributor Ex Warehouse","40HC","21.05","49.90","2.80","6.95","4.10","7.60","0.00","1.20","29-Jul-2026","29-Jul-2026","Short lived Seattle ex warehouse tariff superseded after carrier lane revision this week"
"LCM-0023","Active","PortMiami","US-FL-MIA","Florida","United States","Emergency Replacement Pack","Emergency Replacement Delivery","Other","25.90","58.20","14.40","0.00","9.75","10.25","118.50","1.80","30-Jul-2026","31-Jul-2026","Current day emergency replacement matrix for urgent Florida service recovery shipments"
"LCM-0024","Draft","Port of Shanghai","CN-SHA-PUDONG","Shanghai","China","Sample Cartons","Direct Plant to Customer","Other","12.60","29.40","8.25","0.00","2.10","5.25","36.80","0.90","30-Jul-2026","","Draft Shanghai sample carton delivery matrix prepared for laboratory evaluation movements"
"LCM-0025","Inactive","Jebel Ali Port","AE-DXB-JAFZA","Dubai","United Arab Emirates","Drum Packed Additives","Temperature Controlled Storage","Other","19.80","45.60","10.35","11.40","5.30","7.75","69.20","1.30","30-Jul-2026","31-Jul-2026","Inactive Jebel Ali controlled storage row kept while Middle East additive handling charges are reviewed"
