"order_id","source_request","change_category","title","description","estimated_cost_impact","effectivity_type","effective_date","expiration_date","max_unit_count","alternative_component","units_consumed","status","created_by_employee","created_date","unit_cap_warning_shown","release_error_flag","release_error_details","release_last_attempt_on","approvers"
"DEV-2026-0016","ECR-2026-0081","Deviation","Bootloader preload on pilot units","Temporary deviation allows secure bootloader preload during pilot build before final automated station release.","41000.00","Temporary_Deviation","08-Aug-2026","31-Aug-2026","1000","BLD-00035","0","Approved","Charlotte King","12-Aug-2026 15:27:30","false","false","","","201097000000044332"
"ECO-2026-0050","ECR-2026-0081","Engineering_ECO","Schedule carton and foam packaging update","Engineering order schedules revised carton and foam insert release for the compact sensor hub starter kit.","118000.00","Permanent_Scheduled","27-Aug-2026","","","RCT-0153","","Submitted","Michael Green","13-Aug-2026 11:04:52","false","false","","","201097000000044334"
"PCO-2026-0033","PCO-2026-0029","Process_PCO","Reject obsolete label release process","Process change was rejected because the proposed shipping label flow relied on an inactive label category.","27000.00","Permanent_Scheduled","12-Aug-2026","","","SLB-0399","","Rejected","Ava Thompson","14-Aug-2026 16:19:47","false","false","","","201097000000044336"
"MCO-2026-0031","MCR-2026-0038","Manufacturing_MCO","Update gearbox assembly work cell tooling","Manufacturing change routes new gearbox tooling and bearing press instructions for production readiness review.","302000.00","Permanent_Scheduled","25-Aug-2026","","","GEA-00094","","Approval_In_Progress","Liam Johnson","15-Aug-2026 09:48:06","false","false","","","201097000000044338"
"DEV-2026-0017","ECR-2026-0081","Deviation","Motor encoder cable routing deviation","Open deviation permits alternate encoder cable routing on actuator fixtures until the updated guide is released.","15600.00","Temporary_Deviation","03-Aug-2026","12-Aug-2026","300","MOT-00165","275","Open","Noah Williams","16-Aug-2026 13:11:25","true","false","","","201097000000044340"
"ECO-2026-0051","ECR-2026-0081","Engineering_ECO","Firmware release order pending retry","Approved firmware release order is waiting for downstream checksum retry before final ERP publication.","142000.00","Permanent_Immediate","15-Aug-2026","","","EFW-00206","","Approved","Charlotte King","17-Aug-2026 10:29:14","false","true","Repository checksum validation failed during downstream release attempt.","17-Aug-2026 11:03:42","201097000000044342"
"PCO-2026-0034","PCO-2026-0029","Process_PCO","Schedule document control template update","Process update schedules revised installation guide template and reviewer checklist for document control.","19500.00","Permanent_Scheduled","29-Aug-2026","","","IGD-0043","","Open","Amelia Hall","20-Aug-2026 08:37:55","false","false","","","201097000000044344"
"MCO-2026-0032","MCR-2026-0038","Manufacturing_MCO","Complete bearing fixture replacement instruction","Completed work instruction update for bearing replacement fixture and operator verification steps.","87500.00","Permanent_Immediate","21-Aug-2026","","","BRG-00448","","Complete","Samuel Adams","21-Aug-2026 12:24:18","false","false","","21-Aug-2026 16:41:27","201097000000044346"
"DEV-2026-0018","ECR-2026-0081","Deviation","Completed foam density deviation for pilot shipment","Temporary foam density deviation completed after pilot shipment packaging validation and lot consumption.","9800.00","Temporary_Deviation","18-Aug-2026","22-Aug-2026","150","PFI-0220","150","Complete","Jacob Wilson","24-Aug-2026 09:56:36","true","false","","22-Aug-2026 17:30:00","201097000000044348"
"ECO-2026-0052","ECR-2026-0081","Engineering_ECO","Cancel power supply sourcing change","Cancelled engineering order because the alternate power supply failed regional compliance evidence review.","376000.00","Permanent_Scheduled","31-Aug-2026","","","PSA-000089","","Cancelled","Benjamin Scott","31-Aug-2026 15:52:09","false","false","","","201097000000044350"
