"history_id","item","revision_label","effective_change_order","snapshot_json","effective_date"
"REV-2026-0011","ENC-00212","00","ECO-2026-0049","{""apn"":""ENC-00212"",""revision"":""00"",""part_status"":""Released"",""lifecycle_phase"":""Production"",""reason"":""Enclosure gasket and clearance snapshot""}","24-Aug-2026 14:18:27"
"REV-2026-0012","CBH-000138","01","MCO-2026-0028","{""apn"":""CBH-000138"",""revision"":""01"",""part_status"":""Released"",""lifecycle_phase"":""Production"",""reason"":""Harness strain relief release snapshot""}","11-Aug-2026 14:05:52"
"REV-2026-0013","PSA-000089","00","ECO-2026-0052","{""apn"":""PSA-000089"",""revision"":""00"",""part_status"":""In_Work"",""lifecycle_phase"":""Design"",""reason"":""Power supply sourcing change cancelled snapshot""}","31-Aug-2026 16:10:24"
"REV-2026-0014","SEN-000305","01","ECO-2026-0047","{""apn"":""SEN-000305"",""revision"":""01"",""part_status"":""Released"",""lifecycle_phase"":""Production"",""reason"":""IMU calibration and pull up option snapshot""}","14-Aug-2026 15:36:19"
"REV-2026-0015","CTL-000058","01","ECO-2026-0049","{""apn"":""CTL-000058"",""revision"":""01"",""part_status"":""In_Work"",""lifecycle_phase"":""Production"",""reason"":""Control panel connector layout snapshot""}","24-Aug-2026 15:22:41"
"REV-2026-0016","IGD-0043","00","PCO-2026-0034","{""apn"":""IGD-0043"",""revision"":""00"",""part_status"":""In_Work"",""lifecycle_phase"":""Design"",""reason"":""Installation guide template update snapshot""}","29-Aug-2026 11:08:50"
"REV-2026-0017","TPR-0117","01","PCO-2026-0030","{""apn"":""TPR-0117"",""revision"":""01"",""part_status"":""Released"",""lifecycle_phase"":""Production"",""reason"":""Burn in procedure communication check snapshot""}","17-Aug-2026 10:48:32"
"REV-2026-0018","CMP-0032","01","PCO-2026-0032","{""apn"":""CMP-0032"",""revision"":""01"",""part_status"":""Released"",""lifecycle_phase"":""Production"",""reason"":""Compliance certificate link snapshot""}","18-Aug-2026 17:04:28"
"REV-2026-0019","UMN-0077","01","ECO-2026-0049","{""apn"":""UMN-0077"",""revision"":""01"",""part_status"":""In_Work"",""lifecycle_phase"":""Production"",""reason"":""User manual diagnostic screen refresh snapshot""}","24-Aug-2026 09:57:06"
"REV-2026-0020","EFW-00206","02","ECO-2026-0051","{""apn"":""EFW-00206"",""revision"":""02"",""part_status"":""Released"",""lifecycle_phase"":""Production"",""reason"":""Firmware checksum retry release snapshot""}","20-Aug-2026 12:12:43"
"REV-2026-0021","BLD-00035","01","DEV-2026-0016","{""apn"":""BLD-00035"",""revision"":""01"",""part_status"":""Released"",""lifecycle_phase"":""Production"",""reason"":""Bootloader preload deviation snapshot""}","21-Aug-2026 13:47:55"
"REV-2026-0022","CFG-00065","03","PCO-2026-0031","{""apn"":""CFG-00065"",""revision"":""03"",""part_status"":""Released"",""lifecycle_phase"":""Production"",""reason"":""Configuration tool signature check snapshot""}","24-Aug-2026 09:32:16"
"REV-2026-0023","RCT-0153","00","ECO-2026-0050","{""apn"":""RCT-0153"",""revision"":""00"",""part_status"":""In_Work"",""lifecycle_phase"":""Production"",""reason"":""Packaging carton artwork update snapshot""}","27-Aug-2026 14:40:02"
"REV-2026-0024","PFI-0220","00","DEV-2026-0018","{""apn"":""PFI-0220"",""revision"":""00"",""part_status"":""Released"",""lifecycle_phase"":""Production"",""reason"":""Foam density deviation completion snapshot""}","28-Aug-2026 12:16:35"
"REV-2026-0025","SLB-0399","00","PCO-2026-0033","{""apn"":""SLB-0399"",""revision"":""00"",""part_status"":""Obsolete"",""lifecycle_phase"":""Obsolete"",""reason"":""Obsolete shipping label block snapshot""}","31-Aug-2026 16:28:12"
