"nir_id","category","item_type_derived","description","manufacturer","part_number","package","datasheet_links","raised_by_employee","status","pca_remarks","rejection_reason","request_datetime","apn","mpn","package_detail","single_source","supply_risk","rohs","schematic_symbol_name","footprint_name","alternate_status","mech_3d","alternate_1_schematic_symbol","alternate_2_schematic_symbol","alternate_1_manufacturer","alternate_1_mpn","alternate_2_manufacturer","alternate_2_mpn","alternate_3_manufacturer","alternate_3_mpn","comments"
"NIR-2026-0069","Enclosures","Assembly_Component","Molded enclosure set for compact sensor hub field trial units.","BluePeak Enclosures","BPE-ENC-145-90-45","Molded enclosure","https://docs.zylker.com/datasheets/BPE-ENC-145-90-45.pdf","Lucas Martin","Library_Review","PCA approved fit requirement and requested mechanical library package.","","10-Aug-2026 09:33:19","ENC-00212","BPE-ENC-145-90-45","145 x 90 x 45 mm ABS enclosure with gasket","No","Medium - tooling capacity to be confirmed","Not applicable","ENCLOSURE_SENSOR_HUB","ENC_BPE_145_90_45","One approved alternate enclosure identified","STEP assembly received","ENCLOSURE_SENSOR_HUB_ALT1","ENCLOSURE_SENSOR_HUB_ALT2","MetroMold Plastics","MMP-ENC-1459045-G","Mariner Foam Products","MFP-ENC-PACK-145","OmniFast Industrial","OFI-ENC-KIT145","Confirm PCB standoff positions before library release."
"NIR-2026-0070","Cable Harnesses","Assembly_Component","Cable harness for 12 position control panel to sensor board interconnect.","Cobalt Cable Systems","CCS-HRN-CTRL-12P-450","Harness assembly","https://docs.zylker.com/drawings/CCS-HRN-CTRL-12P-450.pdf","Henry Allen","Approved","Manufacturing review confirmed harness length and connector keying.","","11-Aug-2026 13:47:28","CBH-000138","CCS-HRN-CTRL-12P-450","450 mm 12 conductor harness with keyed housings","No","Low - two harness suppliers quoted","Compliant","HARNESS_12P_CTRL","HRN_CCS_12P_450MM","Two alternate harness builds approved","3D route model available","HARNESS_12P_ALT1","HARNESS_12P_ALT2","EverLink Connectors","ELC-HRN12P-450","Shenzhen Delta Parts","SDP-HRN12P-450","NexCore Components","NXC-HRN-CTRL12-450","Release required before pilot line fixture checkout."
"NIR-2026-0071","Power Supply Assemblies","Assembly_Component","DIN rail 24 V 150 W power supply for control cabinet prototype.","Vertex Power Solutions","VPS-PSU-24V-150W-DIN","DIN rail module","https://docs.zylker.com/datasheets/VPS-PSU-24V-150W-DIN.pdf","Noah Williams","Rejected","Safety compliance package was incomplete during procurement screening.","Safety agency certificate is missing for target regions and input surge rating is below requirement.","12-Aug-2026 10:28:45","PSA-000089","VPS-PSU-24V-150W-DIN","24 VDC 6.25 A DIN rail supply","Yes","High - single source and missing compliance evidence","Pending certificate","PSU_DIN_24V_150W","PSU_VPS_DIN150W","Alternate sourcing required before resubmission","STEP model not approved","PSU_DIN_24V_ALT1","PSU_DIN_24V_ALT2","VoltEdge Technologies","VET-PSU24-150DIN","NexCore Components","NXC-PSU24-150W","Apex Electronics Inc.","APX-DIN24-150","Procurement to obtain UL and CE documents before a new request is raised."
"NIR-2026-0072","Sensor Modules","Assembly_Component","Nine axis IMU sensor module for motion monitoring option board.","Nordic Sensor Systems","NSS-IMU-9AX-003","Module board","https://docs.zylker.com/datasheets/NSS-IMU-9AX-003.pdf","Charlotte King","Approved","Electrical and firmware teams confirmed interface support.","","13-Aug-2026 15:09:12","SEN-000305","NSS-IMU-9AX-003","20 x 18 mm I2C SPI IMU module","No","Low - second source module evaluated","Compliant","MOD_IMU_9AX","MOD_NSS_IMU_20X18","Firmware compatible alternate module selected","STEP model available","MOD_IMU_9AX_ALT1","MOD_IMU_9AX_ALT2","Pacific Micro Devices","PMD-IMU9AX-MOD","BrightCap Semiconductors","BCS-SEN-IMU9-18","Apex Electronics Inc.","APX-IMU9-MOD20","Needed for customer requested orientation detection feature."
"NIR-2026-0073","Control Panels","Assembly_Component","Seven inch HMI control panel assembly for pilot line operator station.","Quantum Switchgear","QSG-CP-7IN-HMI-24V","Panel assembly","https://docs.zylker.com/datasheets/QSG-CP-7IN-HMI-24V.pdf","Daniel Young","Submitted","Awaiting manufacturing and quality routing decision.","","14-Aug-2026 09:58:40","CTL-000058","QSG-CP-7IN-HMI-24V","7 inch touchscreen panel with 24 V input","Unknown","Medium - display lead time not confirmed","Compliant","CTRL_PANEL_7IN_HMI","PANEL_QSG_7IN_HMI","Alternates pending display compatibility check","STEP assembly requested","CTRL_PANEL_7IN_ALT1","CTRL_PANEL_7IN_ALT2","Vertex Power Solutions","VPS-HMI7-24V","MetroMold Plastics","MMP-PANEL7-HMI","EverLink Connectors","ELC-HMI7-CTRL","Request supports pilot cell operator feedback station."
"NIR-2026-0074","Installation Guides","Library_Component","Installation guide for compact sensor hub mounting and wiring instructions.","Zylker Technical Publications","ZTP-IGD-SENHUB-REV01","PDF","https://docs.zylker.com/documents/ZTP-IGD-SENHUB-REV01.pdf","Amelia Hall","PCA_Review","Document control is verifying template and applicability scope.","","15-Aug-2026 14:13:06","IGD-0043","ZTP-IGD-SENHUB-REV01","A4 PDF controlled document","No","Low - internal document source","Not applicable","DOC_INSTALL_GUIDE","DOC_PDF_A4","Alternate translation services identified","Not required","DOC_INSTALL_GUIDE_ALT1","DOC_INSTALL_GUIDE_ALT2","Orion Compliance Services","OCS-IGD-SENHUB-LOC","HelioTest Instruments","HTI-IGD-TESTCELL","FusionFirmware Labs","FFL-IGD-FWSETUP","Guide will be referenced by field service and pilot installation teams."
"NIR-2026-0075","Test Procedures","Library_Component","Burn in test procedure for sensor hub power and communications validation.","HelioTest Instruments","HTI-TPROC-BURNIN-72H","PDF","https://docs.zylker.com/procedures/HTI-TPROC-BURNIN-72H.pdf","Samuel Adams","Library_Review","PCA approved procedure need and routed for controlled document numbering.","","17-Aug-2026 10:24:33","TPR-0117","HTI-TPROC-BURNIN-72H","Controlled PDF with test data template","No","Low - procedure authored internally with lab support","Not applicable","DOC_TEST_PROCEDURE","DOC_TPR_A4","Alternate test flow retained for regression lab","Not required","DOC_TEST_PROCEDURE_ALT1","DOC_TEST_PROCEDURE_ALT2","Zylker Technical Publications","ZTP-TPR-BURNIN-72H","Orion Compliance Services","OCS-TPR-VALID-72H","FusionFirmware Labs","FFL-TPR-FW-BURNIN","Procedure includes power cycling and network communication checks."
"NIR-2026-0076","Compliance Certificates","Library_Component","Declaration of conformity certificate package for compact sensor hub release.","Orion Compliance Services","OCS-CE-DECL-SHUB-2026","Certificate PDF","https://docs.zylker.com/compliance/OCS-CE-DECL-SHUB-2026.pdf","Ava Thompson","Approved","Quality approved certificate metadata and retention requirement.","","18-Aug-2026 16:39:21","CMP-0032","OCS-CE-DECL-SHUB-2026","Signed PDF compliance package","No","Low - approved compliance provider","Not applicable","DOC_COMPLIANCE_CERT","DOC_CERT_A4","Regional certificate alternates available","Not required","DOC_COMPLIANCE_CERT_ALT1","DOC_COMPLIANCE_CERT_ALT2","HelioTest Instruments","HTI-CERT-EMC-SHUB","Nordic Sensor Systems","NSS-CERT-IMU-CE","Vertex Power Solutions","VPS-CERT-PSU-CE","Certificate must be linked to production release package."
"NIR-2026-0077","User Manuals","Library_Component","User manual for control panel setup and diagnostic screen navigation.","Zylker Technical Publications","ZTP-UMN-CTRL-PANEL-01","PDF","https://docs.zylker.com/manuals/ZTP-UMN-CTRL-PANEL-01.pdf","Amelia Hall","Submitted","Initial document request logged for editorial review.","","19-Aug-2026 08:42:17","UMN-0077","ZTP-UMN-CTRL-PANEL-01","A4 PDF controlled user manual","No","Low - internal publication workflow","Not applicable","DOC_USER_MANUAL","DOC_MANUAL_A4","Localization alternates to be assessed later","Not required","DOC_USER_MANUAL_ALT1","DOC_USER_MANUAL_ALT2","Orion Compliance Services","OCS-UMN-CTRL-LOC","GreenField Packaging","GFP-UMN-PRINT-01","Atlas Label Works","ALW-UMN-QR-INSERT","Manual needed before customer pilot shipment."
"NIR-2026-0078","Embedded Firmware","Library_Component","Embedded firmware release package for sensor hub data acquisition board.","FusionFirmware Labs","FFL-FW-SHUB-2.4.0","Firmware ZIP","https://repo.zylker.com/releases/FFL-FW-SHUB-2.4.0.zip","Charlotte King","Rejected","Library review could not verify repository evidence.","Repository tag and binary checksum were not supplied with the request.","20-Aug-2026 11:31:55","EFW-00206","FFL-FW-SHUB-2.4.0","Signed firmware binary and release notes","Unknown","Medium - release traceability incomplete","Not applicable","FW_SENSOR_HUB_APP","FW_PACKAGE_ZIP","Alternate branch not accepted until checksum is provided","Not required","FW_SENSOR_HUB_ALT1","FW_SENSOR_HUB_ALT2","Pacific Micro Devices","PMD-FW-SHUB-2.4X","Nordic Sensor Systems","NSS-FW-IMU-2.4","Apex Electronics Inc.","APX-FW-SHUB-240","Resubmit with Git tag and SHA256 checksum attachment."
"NIR-2026-0079","Bootloader Packages","Library_Component","Secure bootloader package for STM32 based controller board.","FusionFirmware Labs","FFL-BLD-STM32-1.8.2","Bootloader ZIP","https://repo.zylker.com/releases/FFL-BLD-STM32-1.8.2.zip","Charlotte King","Library_Review","PCA confirmed need for secure boot support and routed to firmware library.","","21-Aug-2026 13:14:09","BLD-00035","FFL-BLD-STM32-1.8.2","Signed bootloader image with programming guide","No","Low - internal firmware maintenance path","Not applicable","FW_BOOTLOADER_STM32","FW_BOOT_PACKAGE_ZIP","Rollback compatible alternate retained","Not required","FW_BOOTLOADER_ALT1","FW_BOOTLOADER_ALT2","Pacific Micro Devices","PMD-BLD-STM32-182","Apex Electronics Inc.","APX-BLD-STM32-SAFE","Nordic Sensor Systems","NSS-BLD-SHUB-STM32","Programming team to validate boot key provisioning before release."
"NIR-2026-0080","Configuration Tools","Library_Component","Windows configuration utility for sensor hub network setup and diagnostics.","FusionFirmware Labs","FFL-CFGTOOL-3.1.0","Installer EXE","https://repo.zylker.com/tools/FFL-CFGTOOL-3.1.0.exe","William Turner","Approved","IT and firmware review approved installer packaging and version naming.","","24-Aug-2026 09:07:44","CFG-00065","FFL-CFGTOOL-3.1.0","Signed Windows installer package","No","Low - internally maintained tool","Not applicable","SW_CONFIG_TOOL","SW_INSTALLER_EXE","Previous major version remains alternate","Not required","SW_CONFIG_TOOL_ALT1","SW_CONFIG_TOOL_ALT2","Apex Electronics Inc.","APX-CFGTOOL-3.0.9","Pacific Micro Devices","PMD-CFG-UTILITY-31","Nordic Sensor Systems","NSS-CFGTOOL-3X","Tool supports pilot deployment and diagnostics capture."
"NIR-2026-0081","Retail Cartons","Library_Component","Retail carton for compact sensor hub starter kit pilot packaging.","GreenField Packaging","GFP-RCT-SHUB-BOX-M","Carton","https://docs.zylker.com/packaging/GFP-RCT-SHUB-BOX-M.pdf","Michael Green","PCA_Review","Packaging artwork and compression specification are under review.","","25-Aug-2026 15:26:30","RCT-0153","GFP-RCT-SHUB-BOX-M","Corrugated carton with printed sleeve","No","Medium - print lead time depends on artwork approval","Not applicable","PKG_RETAIL_CARTON","PKG_CARTON_SHUB_M","Alternate carton supplier identified","3D dieline available","PKG_RETAIL_CARTON_ALT1","PKG_RETAIL_CARTON_ALT2","Atlas Label Works","ALW-RCT-SHUB-PRINT","Mariner Foam Products","MFP-RCT-INSERT-M","MetroMold Plastics","MMP-RCT-TRAY-M","Needed for customer pilot shipment packaging validation."
"NIR-2026-0082","Protective Foam Inserts","Library_Component","Protective foam insert set for sensor hub and accessory retention in carton.","Mariner Foam Products","MFP-FOAM-SHUB-KIT-A","Foam insert","https://docs.zylker.com/packaging/MFP-FOAM-SHUB-KIT-A.pdf","Lucas Martin","Approved","Mechanical packaging review confirmed drop test intent and fit allowance.","","28-Aug-2026 11:52:18","PFI-0220","MFP-FOAM-SHUB-KIT-A","EPE foam insert two piece kit","No","Low - alternate foam converter available","Not applicable","PKG_FOAM_INSERT","PKG_FOAM_SHUB_KIT_A","Alternate density option approved","3D cavity model available","PKG_FOAM_INSERT_ALT1","PKG_FOAM_INSERT_ALT2","GreenField Packaging","GFP-FOAM-SHUB-A","MetroMold Plastics","MMP-FOAM-TRAY-SHUB","Atlas Label Works","ALW-FOAM-LABELKIT","Insert will be tested with retail carton and accessories."
"NIR-2026-0083","Shipping Labels","Library_Component","Lithium battery caution shipping label for accessory kit outbound cartons.","Atlas Label Works","ALW-SLB-UN3481-SM","Label roll","https://docs.zylker.com/labels/ALW-SLB-UN3481-SM.pdf","Ava Thompson","Rejected","PCA detected inactive category and missing artwork approval.","Category is inactive and label artwork approval is not attached.","31-Aug-2026 16:04:26","SLB-0399","ALW-SLB-UN3481-SM","76 x 110 mm thermal transfer label","Unknown","High - inactive category and compliance artwork gap","Pending certificate","PKG_SHIPPING_LABEL","LBL_UN3481_76X110","Alternate review deferred until category is reactivated","Not required","PKG_SHIPPING_LABEL_ALT1","PKG_SHIPPING_LABEL_ALT2","GreenField Packaging","GFP-SLB-UN3481-SM","Mariner Foam Products","MFP-SLB-CAUTION-SM","Orion Compliance Services","OCS-LBL-UN3481-CERT","Requester should confirm category activation and attach approved label artwork before resubmission."
