"apn","category","description","part_name","decal_name","part_type","value","voltage","temperature","part_status","lifecycle_phase","revision","is_variant","variant_of","variant_code","mfg_0","mpn_0","mfg_1","mpn_1","mfg_2","mpn_2","mfg_3","mpn_3","mfg_4","mpn_4","mfg_5","mpn_5","comment","nir_source","is_deviated","owner_employee","created_date","is_deleted","deleted_on","deleted_by_employee","deleted_reason","bom_lines"
"ENC-00212","Enclosures","Molded ABS enclosure set with gasket for compact sensor hub field trial units and pilot fit validation.","Compact sensor hub enclosure set","ENC_SENSOR_HUB_145_90_45","Assembly","145 x 90 x 45 mm","","-20 C to 70 C","Released","Production","00","false","","","BluePeak Enclosures","BPE-ENC-145-90-45","MetroMold Plastics","MMP-ENC-1459045-G","Mariner Foam Products","MFP-ENC-PACK-145","OmniFast Industrial","OFI-ENC-KIT145","","","","","Standoff positions and gasket compression checks are controlled through mechanical release notes.","NIR-2026-0069","false","Lucas Martin","10-Aug-2026 09:42:01","false","","","","201097000000044522"
"CBH-000138","Cable Harnesses","450 mm 12 conductor keyed cable harness connecting control panel assembly to the sensor board interface.","12 position control harness assembly","HRN_CCS_12P_450MM","Assembly","450 mm length","60 V","-20 C to 80 C","Released","Production","01","false","","","Cobalt Cable Systems","CCS-HRN-CTRL-12P-450","EverLink Connectors","ELC-HRN12P-450","Shenzhen Delta Parts","SDP-HRN12P-450","NexCore Components","NXC-HRN-CTRL12-450","","","","","Harness strain relief fixture and continuity verification are included in manufacturing instructions.","NIR-2026-0070","false","Henry Allen","11-Aug-2026 13:56:37","false","","","","201097000000044524"
"PSA-000089","Power Supply Assemblies","24 V 150 W DIN rail power supply assembly held in design pending regional safety certificate completion.","24 V 150 W DIN rail power supply","PSU_DIN_24V_150W","Assembly","150 W","24 V","-20 C to 70 C","In_Work","Design","00","false","","","Vertex Power Solutions","VPS-PSU-24V-150W-DIN","VoltEdge Technologies","VET-PSU24-150DIN","NexCore Components","NXC-PSU24-150W","Apex Electronics Inc.","APX-DIN24-150","","","","","Sourcing change was cancelled until UL and CE evidence is complete for target pilot regions.","NIR-2026-0071","false","Noah Williams","12-Aug-2026 10:36:28","false","","","","201097000000044526"
"SEN-000305","Sensor Modules","Nine axis IMU sensor module assembly for motion monitoring option board with calibration table release note.","9 axis IMU sensor module","MOD_IMU_9AX_20X18","Assembly","I2C SPI IMU","3.3 V","-40 C to 85 C","Released","Production","01","false","","","Nordic Sensor Systems","NSS-IMU-9AX-003","Pacific Micro Devices","PMD-IMU9AX-MOD","BrightCap Semiconductors","BCS-SEN-IMU9-18","Apex Electronics Inc.","APX-IMU9-MOD20","","","","","Firmware compatible module selected for customer requested orientation detection feature.","NIR-2026-0072","false","Charlotte King","13-Aug-2026 15:18:44","false","","","","201097000000044528"
"CTL-000058","Control Panels","Seven inch HMI control panel assembly with revised connector layout and compliance documentation linkage.","7 inch HMI control panel assembly","PANEL_QSG_7IN_HMI","Assembly","7 inch touchscreen","24 V","0 C to 50 C","In_Work","Production","01","false","","","Quantum Switchgear","QSG-CP-7IN-HMI-24V","Vertex Power Solutions","VPS-HMI7-24V","MetroMold Plastics","MMP-PANEL7-HMI","EverLink Connectors","ELC-HMI7-CTRL","","","","","Pilot operator station assembly is awaiting final connector layout build aid approval.","NIR-2026-0073","false","Daniel Young","14-Aug-2026 10:07:19","false","","","","201097000000044530"
"IGD-0043","Installation Guides","Controlled installation guide for compact sensor hub mounting and wiring instructions using the current safety notice template.","Compact sensor hub installation guide","DOC_INSTALL_GUIDE_SHUB","Document","A4 PDF","","","In_Work","Design","00","false","","","Orion Compliance Services","OCS-IGD-SENHUB-LOC","HelioTest Instruments","HTI-IGD-TESTCELL","FusionFirmware Labs","FFL-IGD-FWSETUP","","","","","","Document control is updating mounting clearance notes before production release.","NIR-2026-0074","false","Amelia Hall","15-Aug-2026 14:22:30","false","","","","","201097000000044532"
"TPR-0117","Test Procedures","Burn in test procedure for sensor hub power cycling and network communication validation over seventy two hours.","Sensor hub burn in test procedure","DOC_TPR_BURNIN_72H","Document","Controlled PDF","","","Released","Production","01","false","","","HelioTest Instruments","HTI-TPROC-BURNIN-72H","Orion Compliance Services","OCS-TPR-VALID-72H","FusionFirmware Labs","FFL-TPR-FW-BURNIN","","","","","","Procedure includes log capture after power cycle recovery and validation checklist attachment.","NIR-2026-0075","false","Samuel Adams","17-Aug-2026 10:33:52","false","","","","","201097000000044534"
"CMP-0032","Compliance Certificates","Declaration of conformity certificate package for compact sensor hub release and field service traceability.","Sensor hub compliance certificate package","DOC_CERT_SHUB_2026","Document","Signed PDF","","","Released","Production","01","false","","","Orion Compliance Services","OCS-CE-DECL-SHUB-2026","HelioTest Instruments","HTI-CERT-EMC-SHUB","Nordic Sensor Systems","NSS-CERT-IMU-CE","Vertex Power Solutions","VPS-CERT-PSU-CE","","","","","Current certificate package is linked to quality release checklist and production records.","NIR-2026-0076","false","Ava Thompson","18-Aug-2026 16:47:03","false","","","","201097000000044536"
"UMN-0077","User Manuals","User manual for control panel setup and diagnostic screen navigation used during customer pilot support.","Control panel user manual","DOC_MANUAL_CTRL_PANEL","Document","A4 PDF","","","In_Work","Production","01","false","","","Orion Compliance Services","OCS-UMN-CTRL-LOC","GreenField Packaging","GFP-UMN-PRINT-01","Atlas Label Works","ALW-UMN-QR-INSERT","","","","","","Screenshots and diagnostic navigation are being refreshed to match the released panel profile.","NIR-2026-0077","false","Amelia Hall","19-Aug-2026 08:50:26","false","","","","","201097000000044538"
"EFW-00206","Embedded Firmware","Embedded firmware release package for sensor hub data acquisition board with repository checksum validation requirement.","Sensor hub application firmware","FW_SENSOR_HUB_APP_2_4_0","Software_Firmware","Version 2.4.0","3.3 V target","-40 C to 85 C","Released","Production","02","false","","","FusionFirmware Labs","FFL-FW-SHUB-2.4.0","Pacific Micro Devices","PMD-FW-SHUB-2.4X","Nordic Sensor Systems","NSS-FW-IMU-2.4","Apex Electronics Inc.","APX-FW-SHUB-240","","","","","Release package requires SHA256 checksum evidence before downstream publication retries.","NIR-2026-0078","true","Charlotte King","20-Aug-2026 11:40:17","false","","","","201097000000044540"
"BLD-00035","Bootloader Packages","Secure bootloader package for STM32 based controller board with boot key provisioning validation.","STM32 secure bootloader package","FW_BOOTLOADER_STM32_1_8_2","Software_Firmware","Version 1.8.2","3.3 V target","-40 C to 85 C","Released","Production","01","false","","","FusionFirmware Labs","FFL-BLD-STM32-1.8.2","Pacific Micro Devices","PMD-BLD-STM32-182","Apex Electronics Inc.","APX-BLD-STM32-SAFE","Nordic Sensor Systems","NSS-BLD-SHUB-STM32","","","","","Pilot preload is controlled by deviation until automated provisioning station release is complete.","NIR-2026-0079","true","Charlotte King","21-Aug-2026 13:23:45","false","","","","201097000000044542"
"CFG-00065","Configuration Tools","Windows configuration utility for sensor hub network setup diagnostics and validation workstation provisioning.","Sensor hub configuration tool","SW_CONFIG_TOOL_3_1_0","Software_Firmware","Version 3.1.0","","","Released","Production","03","false","","","FusionFirmware Labs","FFL-CFGTOOL-3.1.0","Apex Electronics Inc.","APX-CFGTOOL-3.0.9","Pacific Micro Devices","PMD-CFG-UTILITY-31","Nordic Sensor Systems","NSS-CFGTOOL-3X","","","","","Installer signature verification is required before use on validation workstations.","NIR-2026-0080","false","William Turner","24-Aug-2026 09:16:58","false","","","","201097000000044544"
"RCT-0153","Retail Cartons","Retail carton for compact sensor hub starter kit pilot packaging with revised artwork and compression specification review.","Sensor hub starter kit retail carton","PKG_CARTON_SHUB_M","Component","Medium carton","","-10 C to 50 C","In_Work","Production","00","false","","","GreenField Packaging","GFP-RCT-SHUB-BOX-M","Atlas Label Works","ALW-RCT-SHUB-PRINT","Mariner Foam Products","MFP-RCT-INSERT-M","MetroMold Plastics","MMP-RCT-TRAY-M","","","","","Artwork and dieline updates are scheduled before customer pilot shipment release.","NIR-2026-0081","false","Michael Green","25-Aug-2026 15:34:21","false","","","","201097000000044546"
"PFI-0220","Protective Foam Inserts","Two piece EPE foam insert set for sensor hub and accessory retention inside the starter kit carton.","Sensor hub protective foam insert kit","PKG_FOAM_SHUB_KIT_A","Component","EPE foam kit","","-10 C to 60 C","Released","Production","00","false","","","Mariner Foam Products","MFP-FOAM-SHUB-KIT-A","GreenField Packaging","GFP-FOAM-SHUB-A","MetroMold Plastics","MMP-FOAM-TRAY-SHUB","Atlas Label Works","ALW-FOAM-LABELKIT","","","","","Packaging validation approved the alternate density option for the pilot lot use up rule.","NIR-2026-0082","true","Lucas Martin","28-Aug-2026 12:01:40","false","","","","201097000000044548"
"SLB-0399","Shipping Labels","Lithium battery caution shipping label record retained as obsolete because the label category is inactive and artwork approval is missing.","UN3481 lithium caution shipping label","LBL_UN3481_76X110","Component","76 x 110 mm","","-10 C to 50 C","Obsolete","Obsolete","00","false","","","Atlas Label Works","ALW-SLB-UN3481-SM","GreenField Packaging","GFP-SLB-UN3481-SM","Mariner Foam Products","MFP-SLB-CAUTION-SM","Orion Compliance Services","OCS-LBL-UN3481-CERT","","","","","Do not use for new releases until category activation and controlled artwork approval are completed.","NIR-2026-0083","false","Ava Thompson","31-Aug-2026 16:12:58","false","","","","201097000000044550"
